Jobp	Fat1	Fat2	Fat3	Fat4	Fat5	Str1	Str2	Str3	Str4	Str5	Desc1	Desc2	Desc3	Desc4	Desc5
BiteClothes											ข้าจะไม่มีวันTấn côngเสื้อผ้า	Lâu lâu ta tấn công quần áo	Đôi khi ta tấn công quần áo	Ta thường tấn công quần áo	ข้าชอบTấn côngเสื้อผ้า
BiteOuter											ข้าจะไม่มีวันTấn côngศิษย์สายนอก	Lâu lâu ta tấn công đệ tử ngoại môn	Đôi khi ta tấn công đệ tử ngoại môn	Ta thường tấn công đệ tử ngoại môn	ข้าชอบTấn côngศิษย์สายนอก
BiteInner											ข้าจะไม่มีวันTấn côngศิษย์สายใน	Lâu lâu ta tấn công đệ tử nội môn	Đôi khi ta tấn công đệ tử nội môn	Ta thường tấn công đệ tử nội môn	ข้าชอบTấn côngศิษย์สายใน
BiteVisitor											ข้าจะไม่มีวันTấn côngแขกผู้มาพัก	Lâu lâu ta tấn công khách đến	Đôi khi ta tấn công khách đến	Ta thường tấn công khách đến	ข้าชอบTấn côngแขกผู้มาพัก
BiteIncoming											ข้าจะไม่มีวันTấn côngผู้มาเยือน	Lâu lâu ta tấn công người ghé thăm	Đôi khi ta tấn công người ghé thăm	Ta thường tấn công người ghé thăm	ข้าชอบTấn côngผู้มาเยือน
AtkEnemy											ข้าจะไม่มีวันTấn công kẻ địch นอกจากว่าพวกเขาจะTấn côngข้าก่อน	Lâu lâu ta tấn công kẻ địch	Đôi khi ta tấn công kẻ địch	Ta thường tấn công kẻ địch	ข้าจะTấn công kẻ địchในทันทีที่ข้าเห็นพวกมัน
AtkDizzyOuter											ข้าจะไม่มีวันTấn công đệ tử ngoại môn bất tỉnh	Lâu lâu ta tấn công đệ tử ngoại môn bất tỉnh	Đôi khi ta tấn công đệ tử ngoại môn bất tỉnh	Ta thường tấn công đệ tử ngoại môn bất tỉnh	ข้าชอบTấn công đệ tử ngoại môn bất tỉnh
AtkDizzyInner											ข้าจะไม่มีวันTấn công đệ tử nội môn bất tỉnh	Lâu lâu ta tấn công đệ tử nội môn bất tỉnh	Đôi khi ta tấn công đệ tử nội môn bất tỉnh	Ta thường tấn công đệ tử nội môn bất tỉnh	ข้าชอบTấn công đệ tử ngoại môn bất tỉnh
AtkDizzyComing											ข้าจะไม่มีวันTấn công khách bất tỉnh	Lâu lâu ta tấn công người ghé thăm bất tỉnh	Đôi khi ta tấn công người ghé thăm bất tỉnh	Ta thường tấn công người ghé thăm bất tỉnh	ข้าชอบTấn công khách bất tỉnh
AtkDizzyVisitor											ข้าจะไม่มีวันTấn công khách bất tỉnh đến	Lâu lâu ta tấn công khách đến bất tỉnh	Đôi khi ta tấn công khách đến bất tỉnh	Ta thường tấn công khách đến bất tỉnh	ข้าชอบTấn công khách bất tỉnh đến
ShitAtShitPlace											ข้าจะไม่มีวันBài tiếtบนจุดBài tiết	Lâu lâu ta bài tiết ở chỗ bài tiết	Đôi khi ta bài tiết ở chỗ bài tiết	Ta khá thích bài tiết ở chỗ bài tiết	ข้าชอบBài tiếtบนจุดBài tiết
ShitAtPlants											ข้าจะไม่มีวันBài tiếtบนพืช	Lâu lâu ta bài tiết trên cây	Đôi khi ta bài tiết trên cây	Ta khá thích bài tiết trên cây	ข้าชอบBài tiếtบนพืช
ShitAtDogHouse											ข้าจะไม่มีวันBài tiếtในบ้านของข้า	Lâu lâu ta bài tiết trong nhà của ta	Đôi khi ta bài tiết trong nhà của ta	Ta khá thích bài tiết trong nhà của ta	ข้าชอบBài tiếtในบ้านของข้า
ShitAtStorage											ข้าจะไม่มีวันBài tiếtในพื้นที่เก็บของ	Lâu lâu ta bài tiết trong kho	Đôi khi ta bài tiết trong kho	Ta khá thích bài tiết trong kho	ข้าชอบBài tiếtในพื้นที่เก็บของ
ShitOnBed											ข้าจะไม่มีวันBài tiếtบนเตียง	Lâu lâu ta bài tiết trên giường	Đôi khi ta bài tiết trên giường	Ta khá thích bài tiết trên giường	ข้าชอบBài tiếtบนเตียง
ShitInFarm											ข้าจะไม่มีวันBài tiếtในพื้นที่เกษตร	Lâu lâu ta bài tiết trong khu nông nghiệp	Đôi khi ta bài tiết trong khu nông nghiệp	Ta khá thích bài tiết trong khu nông nghiệp	ข้าชอบBài tiếtในพื้นที่เกษตร
CarryOuterToBed											Ta sẽ không bao giờ vác đệ tử ngoại môn bất tỉnh lên giường	Lâu lâu ta vác đệ tử ngoại môn bất tỉnh lên giường	Đôi khi ta vác đệ tử ngoại môn bất tỉnh lên giường	Ta thường vác đệ tử ngoại môn bất tỉnh lên giường	ข้าชอบVác đệ tử ngoại môn bất tỉnhไปยังเตียง
CarryVisitorToDest											Ta sẽ không bao giờ vác khách bất tỉnh đến đến điểm chỉ định	Lâu lâu ta vác khách bất tỉnh đến đến điểm chỉ định	Đôi khi ta vác khách bất tỉnh đến đến điểm chỉ định	Ta thường vác khách bất tỉnh đến đến điểm chỉ định	ข้าชอบVác khách bất tỉnh đếnไปยังจุดที่กำหนด
CarryEnemyToDest											Ta sẽ không bao giờ vác kẻ địch bất tỉnh đến điểm chỉ định	Lâu lâu ta vác kẻ địch bất tỉnh đến điểm chỉ định	Đôi khi ta vác kẻ địch bất tỉnh đến điểm chỉ định	Ta thường vác kẻ địch bất tỉnh đến điểm chỉ định	ข้าชอบVác kẻ địch bất tỉnhไปยังจุดที่กำหนด
CarryIncomingToDest											Ta sẽ không bao giờ vác người thường bất tỉnh đến điểm chỉ định	Lâu lâu ta vác người thường bất tỉnh đến điểm chỉ định	Đôi khi ta vác người thường bất tỉnh đến điểm chỉ định	Ta thường vác người thường bất tỉnh đến điểm chỉ định	ข้าชอบVác người thường bất tỉnhไปยังจุดที่กำหนด
CarryEnemyBodyToDest											Ta sẽ không bao giờ vác xác kẻ địch đến điểm chỉ định	Lâu lâu ta vác xác kẻ địch đến điểm chỉ định	Đôi khi ta vác xác kẻ địch đến điểm chỉ định	Ta thường vác xác kẻ địch đến điểm chỉ định	ข้าชอบแบกศพของศัตรูไปยังจุดที่กำหนด
CarryVisitorBodyToDest											Ta sẽ không bao giờ vác xác khách đến đến điểm chỉ định	Lâu lâu ta vác xác khách đến đến điểm chỉ định	Đôi khi ta vác xác khách đến đến điểm chỉ định	Ta thường vác xác khách đến đến điểm chỉ định	ข้าชอบแบกศพของแขกผู้มาพักไปยังจุดที่กำหนด
CarryIncomingBodyToDest											Ta sẽ không bao giờ vác xác người thường đến điểm chỉ định	Lâu lâu ta vác xác người thường đến điểm chỉ định	Đôi khi ta vác xác người thường đến điểm chỉ định	Ta thường vác xác người thường đến điểm chỉ định	ข้าชอบแบกศพของคนธรรมดาไปยังจุดที่กำหนด
HelpCarry	0	-1	-1	-1	-1						ข้าจะไม่มีทางช่วยขนย้ายสิ่งของ	Lâu lâu ta giúp vận chuyển đồ	Đôi khi ta giúp vận chuyển đồ	Ta thường giúp vận chuyển đồ	ข้าชอบช่วยขนย้ายสิ่งของ
HelpTimber											ข้าจะไม่มีทางช่วยĐốn cây	Lâu lâu ta giúp chặt cây	Đôi khi ta giúp chặt cây	Ta thường giúp chặt cây	ข้าชอบช่วยĐốn cây
HelpMine											ข้าจะไม่มีทางช่วยKhai thác quặng	Lâu lâu ta giúp khai thác quặng	Đôi khi ta giúp khai thác quặng	Ta thường giúp khai thác quặng	ข้าชอบช่วยKhai thác quặng
HelpFind											ข้าจะไม่ค้นหาศัตรู	Lâu lâu ta tìm kiếm kẻ địch	Đôi khi ta tìm kiếm kẻ địch	Ta thường tìm kiếm kẻ địch	ข้าชอบค้นหาศัตรู
HelpKill											ข้าจะไม่Mổ xẻสัตว์ป่า	Lâu lâu ta mổ xẻ thú hoang	Đôi khi ta mổ xẻ thú hoang	Ta thường mổ xẻ thú hoang	ข้าชอบMổ xẻสัตว์ป่า
HelpPlant											ข้าจะไม่ปัสสาวะใส่พืช	Lâu lâu ta tiểu lên cây	Đôi khi ta tiểu lên cây	Ta thường tiểu lên cây	ข้าจะปัสสาวะใส่พืชในทุกครั้งที่มีโอกาส
Pee											ข้าจะไม่ปัสสาวะใส่พืช	Lâu lâu ta tiểu lên cây	Đôi khi ta tiểu lên cây	Ta thường tiểu lên cây	ข้าจะปัสสาวะใส่พืชในทุกครั้งที่มีโอกาส
CureFreeze											ข้าจะไม่Trị chứng tê cóng	Lâu lâu ta trị chứng tê cóng	Đôi khi ta trị chứng tê cóng	Ta thường trị chứng tê cóng	ข้าชอบTrị chứng tê cóng
CureHot											ข้าจะไม่Trị chứng say nắng	Lâu lâu ta trị chứng say nắng	Đôi khi ta trị chứng say nắng	Ta thường trị chứng say nắng	ข้าชอบTrị chứng say nắng
HelpCook											ข้าจะไม่มีทางช่วยNấu ăn	Lâu lâu ta giúp nấu ăn	Đôi khi ta giúp nấu ăn	Ta thường giúp nấu ăn	ข้าชอบช่วยNấu ăn
HeatEndure											ข้าจะไม่ใช้Thanh Lương Thuậtใส่ศิษย์ในสำนัก	Lâu lâu ta dùng Thanh Lương Thuật lên đệ tử trong môn	Đôi khi ta dùng Thanh Lương Thuật lên đệ tử trong môn	Ta thường dùng Thanh Lương Thuật lên đệ tử trong môn	ข้าชอบใช้Thanh Lương Thuậtใส่ศิษย์ในสำนัก
ColdEndure											ข้าจะไม่ใช้Ôn Nhu Thuậtใส่ศิษย์ในสำนัก	Lâu lâu ta dùng Ôn Nhu Thuật lên đệ tử trong môn	Đôi khi ta dùng Ôn Nhu Thuật lên đệ tử trong môn	Ta thường dùng Ôn Nhu Thuật lên đệ tử trong môn	ข้าชอบใช้Ôn Nhu Thuậtใส่ศิษย์ในสำนัก
HelpPlay											ข้าจะไม่Chơiกับศิษย์ในสำนัก	Lâu lâu ta chơi với đệ tử trong môn	Đôi khi ta chơi với đệ tử trong môn	Ta thường chơi với đệ tử trong môn	ข้าชอบChơiกับศิษย์ในสำนัก
FeedTongXie											ข้าจะไม่ให้ยาถ่ายกับศิษย์ในสำนัก	Lâu lâu ta cho đệ tử trong môn ăn thuốc xổ	Đôi khi ta cho đệ tử trong môn ăn thuốc xổ	Ta thường cho đệ tử trong môn ăn thuốc xổ	ข้าชอบให้ยาถ่ายกับศิษย์ในสำนัก
CureInner											ข้าจะไม่ใช้Linh Khí Trị Liệuอาการบาดเจ็บ	Lâu lâu ta dùng Linh Khí trị thương	Đôi khi ta dùng Linh Khí trị thương	Ta thường dùng Linh Khí trị thương	ข้าชอบใช้Linh Khí Trị Liệuอาการบาดเจ็บ
HealInner											ข้าจะไม่ใช้Linh Khí Trị Liệuอาการบาดเจ็บ	Lâu lâu ta dùng Linh Khí trị thương	Đôi khi ta dùng Linh Khí trị thương	Ta thường dùng Linh Khí trị thương	ข้าชอบใช้Linh Khí Trị Liệuอาการบาดเจ็บ
PlayToy											ข้าจะไม่ChơiของChơi	Lâu lâu ta chơi đồ chơi	Đôi khi ta chơi đồ chơi	Ta thường chơi đồ chơi	ข้าชอบChơiของChơi
TrainQiGan											ข้าจะไม่Tu luyệnปราณ	Lâu lâu ta tu luyện Linh Khí	Đôi khi ta tu luyện Linh Khí	Ta thường tu luyện Linh Khí	ข้าชอบTu luyệnปราณ
TrainNeiDan						0	1	1	1	1	ข้าจะไม่Tu luyệnแก่นอสูร	Lâu lâu ta tu luyện Yêu Đan	Đôi khi ta tu luyện Yêu Đan	Ta thường tu luyện Yêu Đan	ข้าชอบTu luyệnแก่นอสูร
TrainHuTi											ข้าจะไม่Tu luyệnเกราะปราณ	Lâu lâu ta tu luyện Hộ Thể	Đôi khi ta tu luyện Hộ Thể	Ta thường tu luyện Hộ Thể	ข้าชอบTu luyệnเกราะปราณ
TrainLingZhi											ข้าจะไม่Tu luyệnสติปัญญา	Lâu lâu ta tu luyện Ngộ Tính	Đôi khi ta tu luyện Ngộ Tính	Ta thường tu luyện Ngộ Tính	ข้าชอบTu luyệnสติปัญญา
TrainShuFa						0	1	1	1	1	ข้าจะไม่Tu luyệnปราณเวท	Lâu lâu ta tu luyện Thuật Pháp	Đôi khi ta tu luyện Thuật Pháp	Ta thường tu luyện Thuật Pháp	ข้าชอบTu luyệnปราณเวท
HelpPlantD											ข้าจะไม่ปัสสาวะในสวนสมุนไพร	Lâu lâu ta tiểu trong vườn thảo dược	Đôi khi ta tiểu trong vườn thảo dược	Ta thường tiểu trong vườn thảo dược	ข้าชอบปัสสาวะในสวนสมุนไพร
CarryOuterBodyToDest											Ta sẽ không bao giờ vác xác đệ tử ngoại môn đến điểm chỉ định	Lâu lâu ta vác xác đệ tử ngoại môn đến điểm chỉ định	Đôi khi ta vác xác đệ tử ngoại môn đến điểm chỉ định	Ta thường vác xác đệ tử ngoại môn đến điểm chỉ định	ข้าชอบVác xác đệ tử ngoại mônไปยังจุดที่กำหนด
CarryInnerBodyToDest											Ta sẽ không bao giờ vác xác đệ tử nội môn đến điểm chỉ định	Lâu lâu ta vác xác đệ tử nội môn đến điểm chỉ định	Đôi khi ta vác xác đệ tử nội môn đến điểm chỉ định	Ta thường vác xác đệ tử nội môn đến điểm chỉ định	ข้าชอบVác xác đệ tử nội mônไปยังจุดที่กำหนด
Feed_Item_Dan_Happiness											ข้าจะไม่Cho ăn Hoan Hỷ Đanให้แก่ศิษย์สายใน	Lâu lâu ta cho đệ tử nội môn ăn Hoan Hỷ Đan	Đôi khi ta cho đệ tử nội môn ăn Hoan Hỷ Đan	Ta thường cho đệ tử nội môn ăn Hoan Hỷ Đan	ข้าชอบCho ăn Hoan Hỷ Đanให้แก่ศิษย์สายใน
Feed_Item_Dan_PracticeSpeed											ข้าจะไม่Cho ăn Tụ Khí Đanให้แก่ศิษย์สายใน	Lâu lâu ta cho đệ tử nội môn ăn Tụ Khí Đan	Đôi khi ta cho đệ tử nội môn ăn Tụ Khí Đan	Ta thường cho đệ tử nội môn ăn Tụ Khí Đan	ข้าชอบCho ăn Tụ Khí Đanให้แก่ศิษย์สายใน
Feed_Item_Dan_CalmDown											ข้าจะไม่Cho ăn Tịnh Tâm Đanให้แก่ศิษย์สายใน	Lâu lâu ta cho đệ tử nội môn ăn Tịnh Tâm Đan	Đôi khi ta cho đệ tử nội môn ăn Tịnh Tâm Đan	Ta thường cho đệ tử nội môn ăn Tịnh Tâm Đan	ข้าชอบCho ăn Tịnh Tâm Đanให้แก่ศิษย์สายใน
Feed_Item_LingStone											ข้าจะไม่Cho ăn Linh Thạchให้แก่ศิษย์สายใน	Lâu lâu ta cho đệ tử nội môn ăn Linh Thạch	Đôi khi ta cho đệ tử nội môn ăn Linh Thạch	Ta thường cho đệ tử nội môn ăn Linh Thạch	ข้าชอบCho ăn Linh Thạchให้แก่ศิษย์สายใน
Feed_Item_LingCrystal											ข้าจะไม่Cho ăn Linh Tinhให้แก่ศิษย์สายใน	Lâu lâu ta cho đệ tử nội môn ăn Linh Tinh	Đôi khi ta cho đệ tử nội môn ăn Linh Tinh	Ta thường cho đệ tử nội môn ăn Linh Tinh	ข้าชอบCho ăn Linh Tinhให้แก่ศิษย์สายใน
BiteExpel											ข้าจะไม่มีวันTấn côngคนธรรมดา	Lâu lâu ta tấn công người thường	Đôi khi ta tấn công người thường	Ta thường tấn công người thường	ข้าชอบTấn côngและสังหารคนธรรมดา
AtkDizzyExpel											ข้าจะไม่มีวันTấn công người thường bất tỉnh	Lâu lâu ta tấn công người thường bất tỉnh	Đôi khi ta tấn công người thường bất tỉnh	Ta thường tấn công người thường bất tỉnh	ข้าชอบTấn công người thường bất tỉnh
CarryMortalToDest											Ta sẽ không bao giờ vác người thường bất tỉnh đến điểm chỉ định	Lâu lâu ta vác người thường bất tỉnh đến điểm chỉ định	Đôi khi ta vác người thường bất tỉnh đến điểm chỉ định	Ta thường vác người thường bất tỉnh đến điểm chỉ định	ข้าชอบVác người thường bất tỉnhไปยังจุดที่กำหนด
CarryMortalBodyToDest											Ta sẽ không bao giờ vác xác người thường đến điểm chỉ định	Lâu lâu ta vác xác người thường đến điểm chỉ định	Đôi khi ta vác xác người thường đến điểm chỉ định	Ta thường vác xác người thường đến điểm chỉ định	ข้าชอบแบกศพของคนธรรมดาไปยังจุดที่กำหนด
Eat_Item_SnakeGallbladder											ข้าจะไม่Ăn mật rắn เว้นแต่พวกเขาจะป้อนให้ข้า	Đôi khi ta ăn mật rắn khi hữu ích	Ta có thể ăn mật rắn khi hữu ích	Ta khá thích ăn mật rắn khi hữu ích	ข้าชอบĂn mật rắnเมื่อมันมีประโยชน์
Eat_Item_BearGallbladder											ข้าจะไม่Ăn mật gấu เว้นแต่พวกเขาจะป้อนให้ข้า	Đôi khi ta ăn mật gấu khi hữu ích	Ta có thể ăn mật gấu khi hữu ích	Ta khá thích ăn mật gấu khi hữu ích	ข้าชอบĂn mật gấuเมื่อมันมีประโยชน์
Eat_Item_RedGinseng											ข้าจะไม่Ăn Hồng Sâm เว้นแต่พวกเขาจะป้อนให้ข้า	Đôi khi ta ăn Hồng Sâm khi hữu ích	Ta có thể ăn Hồng Sâm khi hữu ích	Ta khá thích ăn Hồng Sâm khi hữu ích	ข้าชอบĂn Hồng Sâmเมื่อมันมีประโยชน์
Eat_Item_PurpleGanodermaLucidum											ข้าจะไม่Ănหลินจือม่วง เว้นแต่พวกเขาจะป้อนให้ข้า	Đôi khi ta ăn Tử Linh Chi khi hữu ích	Ta có thể ăn Tử Linh Chi khi hữu ích	Ta khá thích ăn Tử Linh Chi khi hữu ích	ข้าชอบĂnหลินจือม่วงเมื่อมันมีประโยชน์
Eat_Item_TuEssence											ข้าจะไม่Ănแกนพสุธาเหลือง เว้นแต่พวกเขาจะป้อนให้ข้า	Đôi khi ta ăn Hoàng Thổ Hạch khi hữu ích	Ta có thể ăn Hoàng Thổ Hạch khi hữu ích	Ta khá thích ăn Hoàng Thổ Hạch khi hữu ích	ข้าชอบĂnแกนพสุธาเหลืองเมื่อมันมีประโยชน์
Eat_Item_HuoEssence											ข้าจะไม่Ăn Hỏa Kiếp Quả เว้นแต่พวกเขาจะป้อนให้ข้า	Đôi khi ta ăn Hỏa Kiếp Quả khi hữu ích	Ta có thể ăn Hỏa Kiếp Quả khi hữu ích	Ta khá thích ăn Hỏa Kiếp Quả khi hữu ích	ข้าชอบĂn Hỏa Kiếp Quảเมื่อมันมีประโยชน์
Eat_Item_ShuiEssence											ข้าจะไม่Ăn Ngũ Sắc Kim Liên เว้นแต่พวกเขาจะป้อนให้ข้า	Đôi khi ta ăn Ngũ Sắc Kim Liên khi hữu ích	Ta có thể ăn Ngũ Sắc Kim Liên khi hữu ích	Ta khá thích ăn Ngũ Sắc Kim Liên khi hữu ích	ข้าชอบĂn Ngũ Sắc Kim Liênเมื่อมันมีประโยชน์
Eat_Item_JinEssence											ข้าจะไม่Ăn Kim Tinh Quả เว้นแต่พวกเขาจะป้อนให้ข้า	Đôi khi ta ăn Kim Tinh Quả khi hữu ích	Ta có thể ăn Kim Tinh Quả khi hữu ích	Ta khá thích ăn Kim Tinh Quả khi hữu ích	ข้าชอบĂn Kim Tinh Quảเมื่อมันมีประโยชน์
Eat_Item_MuEssence											ข้าจะไม่Ăn Dã Đằng เว้นแต่พวกเขาจะป้อนให้ข้า	Đôi khi ta ăn Dã Đằng khi hữu ích	Ta có thể ăn Dã Đằng khi hữu ích	Ta khá thích ăn Dã Đằng khi hữu ích	ข้าชอบĂn Dã Đằngเมื่อมันมีประโยชน์
Eat_Item_LifeStream											ข้าจะไม่ดื่มสายธารชีวิต เว้นแต่พวกเขาจะป้อนให้ข้า	Đôi khi ta uống Sinh Mệnh Chi Tuyền khi hữu ích	Ta có thể uống Sinh Mệnh Chi Tuyền khi hữu ích	Ta thường uống Sinh Mệnh Chi Tuyền khi hữu ích	ข้าชอบดื่มสายธารชีวิตเมื่อมันมีประโยชน์
Eat_Item_LongEgg											ข้าจะไม่Ăn Thủy Long Đản เว้นแต่พวกเขาจะป้อนให้ข้า	Đôi khi ta ăn Thủy Long Đản	Ta có thể ăn Thủy Long Đản	Ta khá thích ăn Thủy Long Đản	ข้าชอบĂn Thủy Long Đản
Eat_Item_FengEgg											ข้าจะไม่Ănไข่วิหคเพลิง เว้นแต่พวกเขาจะป้อนให้ข้า	Đôi khi ta ăn Hỏa Linh Thú Đản	Ta có thể ăn Hỏa Linh Thú Đản	Ta khá thích ăn Hỏa Linh Thú Đản	ข้าชอบĂnไข่วิหคเพลิงs
Eat_Item_DragonShit											ข้าจะไม่Ănขีี้มังกร เว้นแต่พวกเขาจะป้อนให้ข้า	Đôi khi ta ăn phân rồng	Ta có thể ăn phân rồng	Ta khá thích ăn phân rồng	ข้าชอบĂnขีี้มังกร
Eat_Item_Jiaozi											ข้าจะไม่Ăn bánh bao เว้นแต่พวกเขาจะป้อนให้ข้า	Đôi khi ta ăn bánh bao	Ta có thể ăn bánh bao	Ta khá thích ăn bánh bao	ข้าชอบĂn bánh bao
Eat_Item_BossFeng_Meat											ข้าจะไม่ĂnThịtวิหคเพลิง เว้นแต่พวกเขาจะป้อนให้ข้า	Đôi khi ta ăn thịt Hỏa Linh Thú	Ta có thể ăn thịt Hỏa Linh Thú	Ta khá thích ăn thịt Hỏa Linh Thú	ข้าชอบĂnThịtวิหคเพลิง
Eat_Item_BossLong_Meat											ข้าจะไม่Ăn thịt rồng เว้นแต่พวกเขาจะป้อนให้ข้า	Đôi khi ta ăn thịt rồng	Ta có thể ăn thịt rồng	Ta khá thích ăn thịt rồng	ข้าชอบĂn thịt rồng
Eat_Item_BossZhuLong_Meat											ข้าจะไม่Ăn Hỗn Độn Chi Nhục เว้นแต่พวกเขาจะป้อนให้ข้า	Đôi khi ta ăn Hỗn Độn Chi Nhục	Ta có thể ăn Hỗn Độn Chi Nhục	Ta khá thích ăn Hỗn Độn Chi Nhục	ข้าชอบĂn Hỗn Độn Chi Nhục
Eat_Item_Cake											ข้าจะไม่Ăn bánh mì เว้นแต่พวกเขาจะป้อนให้ข้า	Đôi khi ta ăn bánh mì	Ta có thể ăn bánh mì	Ta khá thích ăn bánh mì	ข้าชอบĂn bánh mì
Eat_Item_MonsterBlood											ข้าจะไม่Uống máu yêu thú เว้นแต่พวกเขาจะป้อนให้ข้า	Đôi khi ta uống máu yêu thú khi hữu ích	Ta có thể uống máu yêu thú khi hữu ích	Ta khá thích uống máu yêu thú khi hữu ích	ข้าชอบUống máu yêu thúเมื่อมันมีประโยชน์
Eat_Item_EarthEssence											ข้าจะไม่ดื่มหยาดปฐพี เว้นแต่พวกเขาจะป้อนให้ข้า	Đôi khi ta uống Địa Nguyên Dịch khi hữu ích	Ta có thể uống Địa Nguyên Dịch khi hữu ích	Ta thường uống Địa Nguyên Dịch khi hữu ích	ข้าชอบดื่มหยาดปฐพีเมื่อมันมีประโยชน์
Eat_Item_SilverGrit											ข้าจะไม่Ăn Băng Tinh Phấn เว้นแต่พวกเขาจะป้อนให้ข้า	Đôi khi ta ăn Băng Tinh Phấn khi hữu ích	Ta có thể ăn Băng Tinh Phấn khi hữu ích	Ta khá thích ăn Băng Tinh Phấn khi hữu ích	ข้าชอบĂn Băng Tinh Phấnเมื่อมันมีประโยชน์
Eat_Item_CopperGrit											ข้าจะไม่Ăn Hỏa Đồng Phấn เว้นแต่พวกเขาจะป้อนให้ข้า	Đôi khi ta ăn Hỏa Đồng Phấn khi hữu ích	Ta có thể ăn Hỏa Đồng Phấn khi hữu ích	Ta khá thích ăn Hỏa Đồng Phấn khi hữu ích	ข้าชอบĂn Hỏa Đồng Phấnเมื่อมันมีประโยชน์
Eat_Item_Cinnabar											ข้าจะไม่Ăn Chu Sa เว้นแต่พวกเขาจะป้อนให้ข้า	Đôi khi ta ăn Chu Sa khi hữu ích	Ta có thể ăn Chu Sa khi hữu ích	Ta khá thích ăn Chu Sa khi hữu ích	ข้าชอบĂn Chu Saเมื่อมันมีประโยชน์
Eat_Item_LingMuXueJie											ข้าจะไม่Ăn Mộc Hạch เว้นแต่พวกเขาจะป้อนให้ข้า	Đôi khi ta ăn Mộc Hạch khi hữu ích	Ta có thể ăn Mộc Hạch khi hữu ích	Ta khá thích ăn Mộc Hạch khi hữu ích	ข้าชอบĂn Mộc Hạchเมื่อมันมีประโยชน์
Eat_Item_EarthEssence_1											ข้าจะไม่Ănแกนศักดิ์สิทธิ์ เว้นแต่พวกเขาจะป้อนให้ข้า	Đôi khi ta ăn Thánh Đan khi hữu ích	Ta có thể ăn Thánh Đan khi hữu ích	Ta khá thích ăn Thánh Đan khi hữu ích	ข้าชอบĂnแกนศักดิ์สิทธิ์เมื่อมันมีประโยชน์
Eat_Item_EarthEssence1_1											ข้าจะไม่Ănแกนมาร เว้นแต่พวกเขาจะป้อนให้ข้า	Đôi khi ta ăn Ma Đan khi hữu ích	Ta có thể ăn Ma Đan khi hữu ích	Ta khá thích ăn Ma Đan khi hữu ích	ข้าชอบĂnแกนมารเมื่อมันมีประโยชน์
