房间	Room
路人需要帮助	Passerby in Need
化形镇神神雷	Shapeshift Spirit-Suppressing Thunder
丙火金刚真言	Binghuo Vajra Mantra
奔烈覆天神雷	Galloping Heaven-Covering Thunder
天火飞星神雷	Celestial Fire Shooting Star Divine Thunderbolt
奠基宝典	Scripture of Foundation Laying
少量的	Slightly
奠基秘册	Foundation Secret Manual
奠基经	Foundation Scripture
金刚宝典	Diamond Tome
五戒奠基秘法	Five Precepts Foundation Secret Art
中量的	Visibly
辟谷要诀	Essential Formula of Fasting
微草佛心宝典	Tiny Grass Buddha-Heart Codex
黄芽合一册	Yellow Sprout Unity Volume
五内琢玉通卷	Five Organs Jade-Carving Tome
凌霄决意神功	Heavenly Resolve Divine Art
大量的	Greatly
奔烈合一要诀	Fusion of Swiftness and Fury
凌霄摄神	Firmament Spirit Capture
海量的	Massively
御木诀	Wood Control Formula
元坤妙法	Yuan Kun Marvelous Method
醍醐灌顶之术	Enlightenment Bestowal Technique
凌霄沃野密卷	Heavenly Vault Fertile Field Secret Scroll
赋灵术	Spirit Infusion Art
五泉涤心法	Five Springs Heart-Cleansing Method
先天罡气	Innate Gang Qi
化伤术	Wound Transformation Art
天霖诀	Heavenly Rain Formula
天一真法	True Method of Tian Yi
水镜观心定	Water Mirror Heart-Calming Method
同风诀	Shared Wind Technique
归海诀	Sea-Return Technique
九阴真水界	Nine Yin True Water Realm
罡煞合流	Convergence of Gangsha
金刚诀	Diamond Sutra
霹雳陨星	Meteor of Thunderbolt
五台覆灭诀	Five Terraces Annihilation Art
三才飞星诀	Three Talents Shooting Star Art
咒神宝典	Curse God Treasure Canon
咒神	Curse God
急诵宝典	Rapid Chant Tome
霹雳归藏	Secret of Gui Cang
大日咒神	Great Sun Curse God
多宝急诵卷	Treasure Rapid Chant Scroll
西海归祖七签	West Sea Ancestral Return Seven Signs
神佑记	Divine Protection Record
清心	Clear Heart
饕餮秘法	Gluttony Art
震雷百炼纲要	Shocking Thunder Refinement Compendium
勾陈鲸吞纪要	Gouchen Devouring Compendium
多宝沃野	Many Treasures Fertile Land
震雷百炼通卷	Complete Scroll of Thunder Refinement
赤霄宫佛心书	Red Firmament Palace Buddha Heart Scripture
六气神农通卷	Six Qi Divine Farmer Compendium
少林合一书	Shaolin Unity Canon
凝珀诀	Amber Condensation Formula
炼制灵晶之术	Spirit Crystal Production Technique
玉液炼形诀	Jade Fluid Body-Refining Art
药典	Herbal Codex
明目诀	Bright Eyes Technique
菁华诀	Essence Formula
灵息诀	Spirit Breath Technique
清心咒	Serene Heart Curse
百草金石录	Hundred Herbs Metal-Stone Record
开炉九诀	Nine Formulas of Furnace Opening
归元诀	Origin Return Formula
新体诀	New Body Technique
入定之术	Art of Meditation
洗心咒	Heart-Cleansing Curse
太上丹经	Elixir Scripture of Supreme Being
秘宝：神农鼎	Artifact: Divine Farmer's Cauldron
太上内经	Supreme Internal Classic
无漏之身	Flawless Body
再造术	Rebuilding Art
道德清净法	Taoist Purity Method
道心	Dao Heart
秘宝：离地焰光旗	Treasure: Fiery Light Flag of Lidi
速炼法	Rapid Refining Method
炼身法-速	Body Refinement - Speed
精炼法	Refinement Method
炼身法-精	Body Refinement - Essence
神炼法	Divine Refinement Method
炼身法-神	Body Refinement - Spirit
伐毛洗髓之术	Bone Cleansing Technique
再造形神之术	Body-Spirit Reformation Art
开天眼之术	Third Eye Opening Art
天道神丹	Divine Elixir of Heavenly Dao
天道神器	Divine Artifact of Heavenly Dao
赤炎覆天真言	Crimson Sky-Covering Mantra
道基流光神雷	Dao Foundation Flowing Light Divine Thunder
阴阳流光真言	Incantation of Yin-Yang Radiant Light
急诵	Urgent Chant
急诵秘法	Rapid Chant Art
崩天经	Sky-Sundering Sutra
朱雀归藏九卷	Vermilion Bird Nine Seals of Return
五戒急诵秘诀	Five Precepts Rapid Chanting Secret Formula
道基崩天密卷	Secret Scroll of Dao Foundation Heaven-Shattering
焚日金刚宝典	Blazing Sun Vajra Canon
东华咒神	Donghua Curse God
丙火急诵宝典	Fiery Recitation Codex
御气崩天经	Qi-Control Heaven-Shattering Scripture
丁火千钧秘诀	Ding Fire (Yin Fire) Thousand Jun Secret Art
鲸吞秘传	Leviathan's Maw Secret Transmission
长生辟谷要诀	Longevity Fasting Formula
龙虎神视要诀	Dragon-Tiger Divine Vision Essence
赤霄宫神龟宝典	Red Sky Palace's Divine Turtle Treasure Canon
赤炎佛心	Buddha Core of Blazing
炽凰沃野丹方	Phoenix Fertile Formula
华山妙手	Hua Mountain Mastery
御神妙手要诀	Divine Control Skilled Hands Formula
玄牝重生法	Mystic Feminine Rebirth Method
少林覆天真言	Shaolin Sky-Covering Mantra
御气陨星真言	Incantation of Qi-Guided Meteor
归藏要诀	Essential Formula of Gui Cang
千钧	Thousand Jun
崩天秘诀	Sky-Sundering Secret Technique
归源咒神九卷	Origin-Return Curse Nine Scrolls
嵩山咒神九卷	Songshan Curse God Nine Scrolls
惊波归藏七签	Startling Waves Seven Seals of Return
白帝宫归藏卷	White Emperor Palace Return Scroll
六气急诵九卷	Six Qi Rapid Chanting Nine Scrolls
彻法归藏秘法	Law-Penetrating Return Esoterica
壬癸崩天	Ren Gui Sky-Sundering
三才归藏	Three Talents Returning to the Source
合一册	Unity Manual
百炼	Hundred Refinements
玄武神农秘要	Black Tortoise Divine Farmer Secret Essentials
黄庭鲸吞纪要	Yellow Court Devouring Compendium
嵩山鬼手宝册	Song Mountain Ghost Hand Manual
勾陈摄神典	Gou Chen Soul-Snatching Canon
逆浪佛心记	Countercurrent Buddha Heart Records
杜国真人佛心记	Record of Du Guo True Person's Buddha Heart
百汇摄神秘要	Hundred Convergence Soul-Snatching Secret
魂体寄生	Soul Parasitism
慧剑斩念	Wisdom Sword Severing Thoughts
玄机心光咒	Mystic Heart Light Curse
太乙金刚神雷	Taiyi Vajra Divine Thunder Technique
壬水化伤	Ren Water Transforms Wounds
崩天宝典	Scripture of Heaven Sundering
咒神七签	Seven Signs of Curse Spirit
百炼要诀	Hundred Refinements Essentials
摄神记	Soul-Snatching Record
现在贤神佑要诀	Present Sage's Divine Protection Key
新境通慧	New Realm Enlightenment
百汇通慧典	Bai Hui Wisdom Canon
灵淬之法	Spirit Refinement Method
尤灵雁上仙燃灵诀	Immortal You Lingyan's Spirit Burning Art
辛金接天神雷	Metallic Heaven-Touching Lightning
阴阳九极	Nine Extremes of Yin Yang
急诵卷	Haste Recitation Scroll
迅击秘诀	Swift Strike Secret Art
百炼秘传	Secret Transmission of Hundred Refinements
少林鬼手密卷	Shaolin Ghost Hand Secret Scroll
金雷合一记	Golden Thunder Unity Records
搜魂大法	Soul-Searching Great Method
风水鉴定	Geomancy Appraisal
麒麟落花神雷	Qilin Falling Blossoms Lightning
崩天七签	Seven Signs of Heaven-Shattering
蓄神秘法	Spirit Accumulation Art
五内混元式	Five Viscera Hybrid Form
赤日奠基经	Crimson Sun Foundation Scripture
百草阁咒神七签	Hundred Herbs Pavilion's Curse God Seven Signs
入道归藏经	Dao Initiation Returning Treasury Scripture
阴阳鬼手卷	Yin-Yang Ghost Hand Scroll
彻法归藏卷	Thorough Method Returning to the Source Scroll
冥灵真法	Nether Spirit True Method
灵犀咒	Soul Resonance Curse
流光咒	Flowing Light Curse
断岳先天一气咒	Mountain-Severing Innate Qi Grand Mantra
现在贤清心真言	Present Sage's Serenity Incantation
斩天流光	Sky-Severing Flowing Light
咒神秘法	Curse Spirit Art
归藏卷	Hidden Return Scroll
咒神卷	Curse God Scroll
白虎崩天九卷	White Tiger Heaven-Sundering Nine Scrolls
辛金崩天经	Xin Metal Heaven-Shattering Scripture
鬼手秘传	Ghost Hand Secret Transmission
鬼手要诀	Ghost Hand Key Formula
气摄经	Qi Absorption Sutra
庚辛鲸吞秘传	Geng-Xin (Metal Phase) Devouring Secret Art
震雷神视秘法	Secret Method of Thunder Spirit Vision
