ID	Desc
70	ห้องต้องมีพื้นที่วิญญาณอย่างน้อย 1 พื้นที่
71	ห้องต้องไม่มีพื้นที่ที่เป็นดิน
72	ห้องต้องมีสิ่งปลูกสร้างอย่างน้อย 1 อย่าง และต้องมีสมบัติวิเศษที่มีธาตุส่งเสริมกัน
73	ห้องต้องมีสิ่งปลูกสร้างอย่างน้อย 2 อย่าง และต้องมีสมบัติวิเศษที่มีธาตุส่งเสริมกัน
74	ห้องต้องมีสิ่งปลูกสร้างอย่างน้อย 3 อย่าง และต้องมีสมบัติวิเศษที่มีธาตุส่งเสริมกัน
75	ห้องต้องไม่มีสิ่งปลูกสร้างที่ธาตุเป็นปฏิปักษ์กันกับสมบัติวิเศษ
76	ห้องต้องมีสิ่งปลูกสร้างไม่เกิน 1 อย่าง และต้องมีสมบัติวิเศษที่มีธาตุเป็นปฏิปักษ์กัน
77	ห้องต้องมีสิ่งปลูกสร้างไม่เกิน 2 อย่าง และต้องมีสมบัติวิเศษที่มีธาตุเป็นปฏิปักษ์กัน
78	ห้องต้องมีสิ่งปลูกสร้างไม่เกิน 3 อย่าง และต้องมีสมบัติวิเศษที่มีธาตุเป็นปฏิปักษ์กัน
79	ห้องต้องมีสิ่งปลูกสร้างอย่างน้อย 1 อย่าง และต้องมีสมบัติวิเศษที่มีธาตุเดียวกัน
80	ห้องต้องมีสิ่งปลูกสร้างอย่างน้อย 2 อย่าง และต้องมีสมบัติวิเศษที่มีธาตุเดียวกัน
81	ห้องต้องมีสิ่งปลูกสร้างอย่างน้อย 3 อย่าง และต้องมีสมบัติวิเศษที่มีธาตุเดียวกัน
82	ต้องมีสมบัติวิเศษที่มีปราณอย่างน้อย 1,000 หน่วย
83	ต้องมีสมบัติวิเศษที่มีปราณอย่างน้อย 5,000 หน่วย
84	ต้องมีสมบัติวิเศษที่มีปราณอย่างน้อย 10,000 หน่วย
85	ต้องมีสมบัติวิเศษที่มีปราณอย่างน้อย 30,000 หน่วย
86	ต้องมีสมบัติวิเศษที่มีปราณไม่เกิน 1,000 หน่วย
87	ต้องมีสมบัติวิเศษที่มีปราณไม่เกิน 5,000 หน่วย
88	ต้องมีสมบัติวิเศษที่มีปราณไม่เกิน 10,000 หน่วย
89	ต้องมีสมบัติวิเศษที่มีปราณไม่เกิน 30,000 หน่วย
90	ต้องมีสมบัติวิเศษที่มีปราณเต็ม
91	สิ่งปลูกสร้างทุกห้องต้องมีฮวงจุ้ยที่เป็นอัปมงคล (อัปมงคลเล็กน้อย/อัปมงคล/โครตอัปมงคล)
92	สิ่งปลูกสร้างทุกห้องต้องมีฮวงจุ้ยที่เป็นมงคล (เป็นมงคลเล็กน้อย/เป็นมงคล/มหามงคล)
93	ห้องต้องไม่มีสิ่งปลูกสร้างใดๆ ที่เป็นมหามงคล
94	ห้องต้องมีสิ่งปลูกสร้างที่เป็นมหามงคล 1 อย่าง
95	ห้องต้องมีสิ่งปลูกสร้างที่เป็นมหามงคลไม่เกิน 1 อย่าง
96	ห้องต้องมีสิ่งปลูกสร้างที่เป็นมหามงคลเกิน 2 อย่าง
97	ห้องต้องมีสิ่งปลูกสร้างที่โครตอัปมงคลอย่างน้อย 1 อย่าง
98	ห้องต้องมีสิ่งปลูกสร้างที่โครตอัปมงคลอย่างน้อย 2 อย่าง
99	ห้องต้องมีสมบัติฮวงจุ้ยอย่างน้อย 1 ชิ้น
100	ห้องต้องมีสมบัติฮวงจุ้ยอย่างน้อย 1 ชิ้น
101	ห้องต้องมีสมบัติฮวงจุ้ยอย่างน้อย 1 ชิ้น
102	ห้องต้องมีสมบัติฮวงจุ้ยอย่างน้อย 1 ชิ้น
103	ห้องต้องมีสมบัติฮวงจุ้ยอย่างน้อย 1 ชิ้น
10001	ต้องมีสมบัติวิเศษที่มีปราณอย่างน้อย 100,000 หน่วย
10002	ห้องต้องมีสิ่งปลูกสร้างที่โครตอัปมงคลอย่างน้อย 5 อย่าง
10003	ห้องต้องมีสมบัติฮวงจุ้ยอย่างน้อย 1 ชิ้น
10004	ห้องต้องมีสิ่งที่ให้แสงสว่าง 8 ชิ้น
10005	ห้องต้องมีเตาไฟอย่างน้อย 3 เตา
10006	ห้องต้องมีสิ่งที่ให้แสงสว่าง 7 ชิ้น
10007	ห้องต้องมีหลุมศพ 5 หลุม
10008	ห้องต้องมีกระถาง 2 อัน
10009	ห้องต้องมีธง 2 ผืน
10010	ห้องต้องมีเตียง 1 เตียง
10011	ห้องต้องไม่มีสิ่งปลูกสร้างใดๆ ที่เป็นเบาะนั่งหรือเบาะปราณ
20000	ห้องต้องมีสมบัติวิญญาณ 1 ชิ้น
