ID	Name	Desc	sParam1	sParam2
36	ถูกโจมตี	กลุ่มผู้ฝึกตนอิสระจากทะเลตะวันออกได้บุกโจมตีสำนักของท่านปล้นชิงทรัพยากรและสมบัติล้ำค่า	Normal	Human
37	ถูกบุกรุก	ท่านถูกโจมตีโดยกลุ่มผู้ฝึกตนที่ชั่วร้ายจากแดนตะวันตก	Rich	Human
38	ถูกบุกรุก	สำนักของท่านถูกโจมตีโดยกลุ่มผู้ฝึกตนอันธพาลจากสำนักมาร	Richest	Human
39	ถูกบุกรุก	สำนักของท่านถูกโจมตีโดยกลุ่มผู้ฝึกตนอันทรงพลัง	Normal	Human
40	ถูกบุกรุก	สำนักของท่านถูกโจมตีโดยกลุ่มผู้ฝึกตนฝ่ายมารที่ไร้ยางอาย	Normal	Human
41	ช่วงเวลาแห่งการเปลี่ยนแปลง	เมื่อเร็วๆ นี้ได้เกิดแผ่นดินอย่างรุนแรงที่บริเวณป่าแดนใต้ ทำให้เหล่าคนเถื่อนและโจรภูเขาจำนวนมากได้หลบหนีมาจากที่นั่น	33|34	
42	สหายเต๋า	สหายเต๋าคนหนึ่งได้มาเยี่ยมเยียนสำนักของท่าน และดูเหมือนว่า[IT]จะอาศัยอยู่ที่นี่ซักระยะหนึ่ง	Immortal Visitor	Human
43	ชาวบ้านที่หลงทาง	มีชาวบ้านคนหนึ่งได้เดินหลงทางมายังสำนักของท่านและ[IT]ก็ต้องการความช่วยเหลือจากท่าน	Confused Stranger	
44	ชาวบ้านขี้สงสัย	มีชาวบ้านคนหนึ่งได้เดินทางมายังที่แห่งนี้ด้วยความอยากรู้อยากเห็นและ[IT]ก็ต้องการรู้ว่าพวกท่านกำลังทำอะไรกันอยู่ที่นี่	Curious Stranger	
45	ชาวบ้านที่บาดเจ็บ	มีชาวบ้านคนหนึ่งที่ได้รับบาดเจ็บได้เดินทางมายังที่นี้และ[IT]ก็ร้องขอความช่วยเหลือจากท่าน	Injured Stranger	RandomDamage
46	หิมะตกปลอยๆ	หิมะเริ่มตกปลอยๆ	LightSnow	
47	หิมะตกหนัก	หิมะเริ่มตกอย่างหนัก	HeavySnow	
48	ผู้สังเกตการณ์	ผู้ฝึกตนคนหนึ่งกำลังเฝ้าสังเกตการณ์ท่านอยู่ และดูเหมือนว่าพวกเขาจะไม่ได้มีจิตมุ่งร้ายอะไร 	Observer	Human
49	สัตว์ร้ายโจมตี	ฝูงหมาป่าที่หิวโหยได้ปรากฏตัวขึ้นในพื้นที่ใกล้ๆ และดูเหมือนว่าพวกมันจะดุร้ายเป็นอย่างมาก	Wolf	
50	สัตว์ร้ายโจมตี	กลุ่มกระต่ายที่บ้าคลั่งได้ปรากฏตัวขึ้นในพื้นที่ใกล้ๆ และดูเหมือนว่าพวกมันจะดุร้ายเป็นอย่างมาก	Rabbit	
51	สัตว์ร้ายโจมตี	กลุ่มงูที่ก้าวร้าวได้ปรากฏตัวขึ้นในพื้นที่ใกล้ๆ และดูเหมือนว่าพวกมันจะดุร้ายเป็นอย่างมาก	Snake	
52	สัตว์ร้ายโจมตี	กลุ่มหมูป่าคลั่งได้ปรากฏตัวขึ้นในพื้นที่ใกล้ๆ และดูเหมือนว่าพวกมันจะดุร้ายเป็นอย่างมาก	Boar	
53	ความลับ		6	
54	ความลับ		7	
55	ความลับ		8	
56	ความลับ		9	
57	ความลับ		10	
58	ความลับ		11	
59	ความลับ		11	
61	ความลับ		14	
62	ความลับ		15	
63	ความลับ		16	
64	ความลับ		17	
65	ความลับ		18	
66	ความลับ		19	
67	ความลับ		20	
68	ความลับ		21	
69	ความลับ		22	
70	ความลับ		29	
71	ความลับ		30	
72	ความลับ		31	
73	ความลับ		32	
74	ความลับ		33	
75	ความลับ		34	
80	สายลมอุ่น	ในช่วงวันที่หนาวที่สุดได้มีสายลมอันอบอุ่นได้พัดผ่านเข้ามา สายลมนี้ได้ทำให้อากาศที่หนาวเย็นรู้สึกอบอุ่นขึ้นมาทันที	HeatWaveInWinter	
81	สายลมหนาว	ในช่วงวันที่ร้อนที่สุดได้มีสายลมเย็นชื่นใจได้พัดผ่านเข้ามา สายลมนี้ได้ทำให้อากาศอันร้อนระอุกลายเป็นเย็นสบายขึ้นมาทันที	ColdWaveInSummer	
82	ฤกษ์งามในการเก็บเกียว	กลิ่นอายพืชพรรณเริ่มแผ่กระจายไปทั่วอาณษบริเวณ เป็นฤกษ์งามยามดีในการเก็บเกี่ยว	HarvestAir	
83	ปราณพวยพุ่ง	ด้วยเหตุผลบางอย่าง ทำให้ปราณแห่งฟ้าดินที่มีอยู่ในธรรมชาติจู่ๆ ก็หนาแน่นขึ้นมาอย่างต่อเนื่อง ต้นไม้บางต้นได้รับผลกระทบจากเหตุการณ์ครั้งนี้และได้กลายเป็นต้นไม้วิญญาณ	LingUpWave	
84	ความลับ		49	
85	ฤดูใบไม้ผลิกำลังมา	ความอบอุ่นของฤดูใบไม้ผลิแผ่กระจายไปทั่วอากาศ	SpringAir	
86	การบุกรุกของสัตว์อสูร	อสูรกระต่ายจำนวนหนึ่งได้ปรากฏตัวขึ้นใกล้ๆ ที่นี่และพวกมันก็ดุร้ายเป็นอย่างมาก	JYRabbit	TongYong_DropList
87	การบุกรุกของสัตว์อสูร	อสูรหมาป่าจำนวนหนึ่งได้ปรากฏตัวขึ้นใกล้ๆ ที่นี่และพวกมันก็ดุร้ายเป็นอย่างมาก	JYWolf	TongYong_DropList
88	การบุกรุกของสัตว์อสูร	อสูรงูจำนวนหนึ่งได้ปรากฏตัวขึ้นใกล้ๆ ที่นี่และพวกมันก็ดุร้ายเป็นอย่างมาก	JYSnake	TongYong_DropList
89	การบุกรุกของสัตว์อสูร	อสูรหมูป่าจำนวนหนึ่งได้ปรากฏตัวขึ้นใกล้ๆ ที่นี่และพวกมันก็ดุร้ายเป็นอย่างมาก	JYBoar	TongYong_DropList
90	การบุกรุกของสัตว์อสูร	อสูรหมีจำนวนหนึ่งได้ปรากฏตัวขึ้นใกล้ๆ ที่นี่และพวกมันก็ดุร้ายเป็นอย่างมาก	JYBear	TongYong_DropList
91	การบุกรุกของสัตว์อสูร	อสูรกบจำนวนหนึ่งได้ปรากฏตัวขึ้นใกล้ๆ ที่นี่และพวกมันก็ดุร้ายเป็นอย่างมาก	JYFrog	TongYong_DropList
92	การบุกรุกของสัตว์อสูร	อสูรเต่าจำนวนหนึ่งได้ปรากฏตัวขึ้นใกล้ๆ ที่นี่และพวกมันก็ดุร้ายเป็นอย่างมาก	JYTurtle	TongYong_DropList
93	การบุกรุกของสัตว์อสูร	มีสัตว์อสูรสองสามตัวปรากฏขึ้นใกล้ๆ ที่นี่และพวกมันก็ดุร้ายเป็นอย่างมาก		TongYong_DropList
94	ร่องรอยของมังกรวารี		53	
95	ร่องรอยของหงส์เพลิง		54	
96	ร่องรอยของมังกรเทียน		55	
97	ผู้ฝึกตนโบราณ		56	
98	ความลับ		59	
99	ความลับ		60	
100	ความลับ		61	
101	ความลับ		62	
102	สหายเต๋า	สหายเต๋าคนหนึ่งได้มาเยี่ยมเยียนสำนักของท่าน และดูเหมือนว่า[IT]จะอาศัยอยู่ที่นี่ซักระยะหนึ่ง	Immortal Visitor	
103	ร่องรอยที่พบ			
104	ความลับ		64	
105	วัถตุวิญญาณที่บังเอิญผ่านมา	วัตถุวิญญาณ [NAME] ได้ปรากฏขึ้นใกล้ๆ ที่นี่ และมันเต็มไปด้วยความอยากรู้อยากเห็น		
106	วัถตุวิญญาณที่บังเอิญผ่านมา	วัตถุวิญญาณ [NAME] ได้ปรากฏขึ้นใกล้ๆ ที่นี่ และมันเต็มไปด้วยความอยากรู้อยากเห็น	Building	
107	การบุกรุกของสัตว์อสูร	อสูรไก่จำนวนหนึ่งได้ปรากฏตัวขึ้นใกล้ๆ ที่นี่และพวกมันก็ดุร้ายเป็นอย่างมาก	JYChicken	TongYong_DropList
108	การบุกรุกของสัตว์อสูร	อสูรแมวจำนวนหนึ่งได้ปรากฏตัวขึ้นใกล้ๆ ที่นี่และพวกมันก็ดุร้ายเป็นอย่างมาก	JYCat	TongYong_DropList
109	การบุกรุกของสัตว์อสูร	อสูรกระทิงจำนวนหนึ่งได้ปรากฏตัวขึ้นใกล้ๆ ที่นี่และพวกมันก็ดุร้ายเป็นอย่างมาก	JYCattle	TongYong_DropList
110	การบุกรุกของสัตว์อสูร	อสูรพยัคฆ์จำนวนหนึ่งได้ปรากฏตัวขึ้นใกล้ๆ ที่นี่และพวกมันก็ดุร้ายเป็นอย่างมาก	JYTiger	TongYong_DropList
111	สัตว์ร้ายโจมตี	ฝูงไก่ที่ป่าคลั่งได้ปรากฏตัวขึ้นในพื้นที่ใกล้ๆ และดูเหมือนว่าพวกมันจะดุร้ายเป็นอย่างมาก	Chicken	
112	สัตว์ร้ายโจมตี	กลุ่มหมีที่ก้าวร้าวได้ปรากฏตัวขึ้นในพื้นที่ใกล้ๆ และดูเหมือนว่าพวกมันจะดุร้ายเป็นอย่างมาก	Bear	
113	สัตว์ร้ายโจมตี	กลุ่มเต่าอันบ้าคลั่งได้ปรากฏตัวขึ้นในพื้นที่ใกล้ๆ และดูเหมือนว่าพวกมันจะดุร้ายเป็นอย่างมาก	Turtle	
114	สัตว์ร้ายโจมตี	กลุ่มกบอันบ้าคลั่งได้ปรากฏตัวขึ้นในพื้นที่ใกล้ๆ และดูเหมือนว่าพวกมันจะดุร้ายเป็นอย่างมาก	Frog	
115	สัตว์ร้ายโจมตี	กลุ่มแมวที่เกรี้ยวกราดได้ปรากฏตัวขึ้นในพื้นที่ใกล้ๆ และดูเหมือนว่าพวกมันจะดุร้ายเป็นอย่างมาก	Cat	
116	สัตว์ร้ายโจมตี	ฝูงกระทิงอันบ้าคลั่งได้ปรากฏตัวขึ้นในพื้นที่ใกล้ๆ และดูเหมือนว่าพวกมันจะดุร้ายเป็นอย่างมาก	Cattle	
117	สัตว์ร้ายโจมตี	กลุ่มเสือที่เกรี้ยวกราดได้ปรากฏตัวขึ้นในพื้นที่ใกล้ๆ และดูเหมือนว่าพวกมันจะดุร้ายเป็นอย่างมาก	Tiger	
118	ถูกโจมตี	กลุ่มผู้ฝึกตนครึ่งอสูรได้จ้องมองสมบัติภายในสำนักของท่านด้วยสายตาอันละโมภ หลังจากนั้นพวกมันจึงปรากฏตัวด้วยความเป็นศัตรู	Poorest	RANDOMYAOGUAI
119	ถูกโจมตี	กลุ่มผู้ฝึกตนครึ่งอสูรตั้งใจที่จะกวาดล้างสำนักของท่าน พวกมันกำลังเดินไปรอบๆ ด้วยสายตากระหายเลือด	Poor	RANDOMYAOGUAI
120	ถูกโจมตี	ด้วยเหตุผลบางประการ กลุ่มผู้ฝึกตนครึ่งอสูรเต็มไปด้วยความเกลียดชังที่มีต่อสำนักของท่านและพวกมันกำลังที่จะลงมือโจมตี	Normal	RANDOMYAOGUAI
121	ถูกบุกรุก	กลุ่มผู้ฝึกตนครึ่งอสูรที่ทรงพลังกลุ่มหนึ่งตั้งใจที่จะขโมยความมั่งคั่งของสำนักท่านเพื่อนำไปส่งเสริมพลังให้แก่ตัวพวกมันเอง	Rich	RANDOMYAOGUAI
122	ถูกบุกรุก	กลุ่มผู้ฝึกตนครึ่งอสูรที่ทรงพลังกลุ่มหนึ่งตั้งใจไล่ล่าเข่นฆ่าผู้คนในสำนักของท่าน พวกมันมีเป้าหมายในการกวาดล้างสำนักของท่าน	Richest	RANDOMYAOGUAI
123	ถูกบุกรุก	กลุ่มผู้ฝึกตนครึ่งอสูรที่บ้าคลั่งกำลังลงมือโจมตีสำนักของท่าน	Normal	RANDOMYAOGUAI
124	ร้องขอความช่วยเหลือ	เผ่าครึ่งอสูรคนหนึ่งต้องการความช่วยเหลือจากท่าน โดย[IT]หวังว่า[IT]จะสามารถรอดชีวิตจากทัณฑ์เปลี่ยนร่างได้ด้วยความช่วยเหลือจากท่าน	RANDOMYAOGUAI	
125	สัตว์เข้าร่วม	 แมวได้มายังสำนักของท่านและดูเหมือนว่ามันจะสนุกกับการอยู่ที่นี่	Cat	
126	สัตว์เข้าร่วม	 ไก่ได้มายังสำนักของท่านและดูเหมือนว่ามันจะสนุกกับการอยู่ที่นี่	Chicken	
127	สัตว์เข้าร่วม	 กระทิงได้มายังสำนักของท่านและดูเหมือนว่ามันจะสนุกกับการอยู่ที่นี่	Cattle	
128	สัตว์เข้าร่วม	 เต่าได้มายังสำนักของท่านและดูเหมือนว่ามันจะสนุกกับการอยู่ที่นี่	Turtle	
129	สัตว์เข้าร่วม	 กระต่ายได้มายังสำนักของท่านและดูเหมือนว่ามันจะสนุกกับการอยู่ที่นี่	Rabbit	
130	สัตว์เข้าร่วม	 กบได้มายังสำนักของท่านและดูเหมือนว่ามันจะสนุกกับการอยู่ที่นี่	Frog	
1000	มังกรที่บังเอิญผ่านมา			Item_DragonShit|Item_DragonScale
1001	ปราณพวยพุ่ง			
1002	หงส์เพลิงที่บังเอิญผ่านมา			Item_BossFeng_HuoYu
10000	ก่อตั้งสำนัก	พวกเราได้ถอยมาตั้งหลักยังที่แห่งนี้และพยายามสร้างรากฐานของพวกเราขึ้นมาใหม่ ยามนี้พวกเราได้ก่อตั้งสำนักแห่งใหม่ของพวกเราขึ้นมา บางที่นี่อาจจะเป็นจุดเริ่มต้นของตำนานบทใหม่?\n\n[color=#D06508]ปลดล็อกของตกแต่ง\nปลดล็อกสิ่งปลูกสร้างเพิ่มเติม[/color]	FoundOrganization1	
10001	เริ่มมีชื่อเสียง	ในตอนนี้สำนักใหม่ของพวกเราเริ่มมีชื่อเสียงขึ้นมาบ้างแล้วซึ่งมันไม่ใช่เรื่องง่ายเลย ทว่าพวกเรามีเป้าหมายในการสร้างสำนักให้ยิ่งใหญ่มากยิ่งขึ้น\n\n[color=#D06508]จำนวนประชากรสูงสุดของสำนักเพิ่มขึ้น[/color]	FoundOrganization2	
10002	โดดเด่น	ในตอนนี้สำนักของเรามีความโดดเด่นเป็นอย่างมากในโลกแห่งผู้ฝึกตน และมันได้กลายเป็นสถานที่ที่เหล่าผู้ที่ใฝ่ฝันที่จะก้าวเข้าสู่วิถีแห่งการบำเพ็ญต่างก็ปรารถนาที่จะเข้าร่วม\n\n[color=#D06508]จำนวนประชากรสูงสุดของสำนักเพิ่มขึ้น\nท่านสามารถจัดการโครงสร้างสาขาย่อยภายในสำนักได้แล้ว	FoundOrganization3	
10003	เจ้าสำนักคนใหม่	[NAME] ได้ขึ้นเป็นผู้นำสำนักคนใหม่ของพวกเรา [IT]จะต้องนำพาสำนักของพวกเราไปสู่ความเจริญรุ่งเรื่องได้อีกครั้งอย่างแน่นอน		
10004	ไร้เจ้าสำนัก	พวกเรายังคงต้องการใครบางคนที่มีความสามารถขึ้นมาเป็นผู้นำสำนัก\n[color=#D06508]ท่าสามารถแต่งตั้งผู้นำสำนักได้ผ่านทาง [โครงสร้างสำนัก] ในเมนูสำนัก[/color]		
10005	ศิษย์ที่ได้รับการแนะนำ	ศิษย์ที่ได้รับการแนะนำมาใกล้จะเดินทางมาถึงแล้ว		
10006	หนีจากหายนะ	เนื่องจากท่านหลบหนีกันมาอย่างเร่งรีบ ดังนั้นท่านจึงไม่ได้นำทรัพยากรติดตัวมาด้วยเท่าไรนัก ในยามนี้ท่านได้วิ่งหนีติดต่อกันมาสองสามวันแล้วและพลังกายของท่านก็กำลังจะหมดลง\nดังนั้นท่านจึงไม่มีทางเลือกอื่นนอกเสียจากพักอยู่ที่นี่เพื่อทำการฟื้นฟู	BaseExpect1	
10007	ลงหลักปักฐาน	กองไฟอันอบอุ่นช่วยบรรเทาความเหนื่อยล้าและความวิตกกังวลของท่านลงเล็กน้อย หลังจากปรึกษากันเป็นระยะเวลาสั้นๆ พวกท่านจึงได้ตัดสินใจว่าที่แห่งนี้นั้นค่อนข้างปลอดภัย ดังนั้นพวกท่านจึงได้ตัดสินใจตั้งค่ายพักชั่วคราวที่นี่\n\n[color=#D06508]ปลดล็อคสิ่งปลูกสร้างพื้นฐาน\nปลดล็อคเฟอร์นิเจอร์พื้นฐาน\nปลดล็อคสถานีงานพื้นฐาน\nปลดล็อคกำแพงและหลังคา[/color]	BaseExpect2	
10008	เริ่มผ่อนคลาย	ในช่วงเวลานี้ ถึงแม้ว่าความเศร้าโศกของการสูญเสียศิษย์พี่ศิษย์น้องและอาจารย์ไปจะยังคงหลอกหลอนพวกท่านอยู่ ทว่ามันก็ค่อยๆ ดีกว่าเดิมมาก อีกทั้งดูเหมือนว่าเหล่าศัตรูจะเลิกไล่ล่าท่านแล้วเช่นกัน ดังนั้นจิตใจของท่านจึงค่อยๆ รู้สึกผ่อนคลายมากขึ้น หลังจากทำการปรึกษากัน ท่านจึงตัดสินใจอยู่ที่นี่กันต่อไป\n\n[color=#D06508][/color]		
10009	บ้านใหม่	ดูเหมือนว่าท่านจะคุ้นเคยกับชีวิตที่นี่แล้ว แม้ว่าจะไม่ได้ทำให้อุ่นใจเท่ากับสมัยที่ท่านยังอยู่ในสำนักไท้อี้ ทว่าท่านก็ยังสามารถอยู่ที่นี่ได้อย่างไม่ขาดเหลืออะไรมากนัก ทำไมท่านถึงไม่ลองสร้างรากฐานการบำเพ็ญตนของพวกท่านขึ้นมาใหม่ละ?\nนี่คือบ้านใหม่ท่ามกลางความวุ่นวายและความไม่สงบ มันคงจะเป็นการเริ่มต้นใหม่ที่ดีและทุกคนก็เต็มไปด้วยความหวัง\n\n[color=#D06508]ปลดล็อกเฟอร์นิเจอร์ขั้นสูง\nปลดล็อคสถานีงานขั้นสูง[/color]	BaseExpect3	
10010	ศิษย์สายนอกได้หนีไป	ศิษย์สายนอก [NAME] ได้หลบหนีไปในตอนกลางคืนเพราะ[IT]ไม่สามารถทนอยู่ที่นี่ได้อีกต่อไป		
10011	ก้าวสู่เส้นทางการฝึกตน	ใครบางคนในหมู่พวกเราสามารถสร้างรากฐานและทะลวงขอบเขตกลายเป็นผู้ฝึกตนแล้ว!\nคนผู้นี้สามารถรู้สึกได้ถึงปราณธรรมชาติอันแรงกล้าระหว่างสวรรค์และโลก: \nปราณ\nประตูหนทางในการฝึกตนได้เปิดออกแล้ว\n\n[color=#D06508]ในตอนนี้ท่านสามารถมองเห็นกระแสปราณได้แล้ว\nในตอนนี้ท่านสามารถก่อตั้งสำนักได้แล้ว[/color]		
10012	แยกทาง	ข้าไม่รู้ว่าข้าทำอะไรผิด แต่ในเมื่อท่านขอให้ข้าจากไป ข้าก็จะไป และข้าต้องขอขอบคุณท่านสำหรับทุกๆ อย่างที่ผ่านมา\n[TXT] ข้าดีใจและมีความสุขมากที่ครั้งหนึ่งข้าเคยทำงานร่วมกับท่าน		
10013	ทำนายอนาคต	การทำนายอนาคตของ [NAME] คือ:\n[TXT]		
10014	กล่องหินเปล่งแสง	คืนนี้เป็นคืนจันทร์เต็มดวง จู่ๆ กล่องหินที่ผู้ฝึกตนคนนั้นมอบให้ท่านก็ได้ส่องสว่างขึ้นมาในช่วงเวลาเที่ยงคืน หลังจากนั้นปากกล่องก็ได้ค่อยๆ เปิดออก		
10015	ได้รับวิชาการบ่มเพาะ	ท่านได้รับวิชาการบ่มเพาะใหม่: [TXT]		
10016	ปลดล็อควิถีการบำเพ็ญตน	ท่านได้รับวิชาการบ่มเพาะวิชาแรกแล้ว ยามนี้ท่านมีคุณสมบัติพร้อมในการก้าวสู่วิถีแห่งการฝึกตนแล้ว หนทางสู่ความเป็นอมตะนั้นแสนยาก ในเส้นทางนี้ท่านต้องผ่านมหาสมุทรแห่งความทุกข์นานับประการ บางที่เมื่อท่านเข้าใจถึงเต๋า ท่านก็อาจจะหลุดพ้นจากความทุกข์และความขมขื่นเหล่านั้นได้\n\n[color=#D06508]ปลดล็อคระบบการฝึกตน\nปลดล็อคสิ่งปลูกสร้างที่เกี่ยวข้องกับการฝึกตน\n(ดูหน้าวิชาบ่มเพาะในเมนูสำนัก)[/color]		
10017	ศัตรูบุกโจมตี	กลุ่มคนที่มีความมุ่งร้ายได้ปรากฏตัวขึ้นที่นี่		
10018	จุติสวรรค์	[NAME] ได้ผ่านผ่านมหาสมุทรแห่งความทุกข์นานับประการและในที่สุดก็สามารถจุติขึ้นสู่แดนสวรรค์ได้สำเร็จ จะเหลือไว้ก็แค่เพียงกายหยาบให้คนรุ่นหลังได้สักการะกราบไหว้\nบทกวีหลักฐาน:\n[color=#D06508]ท่ามกลางความโกลาหลของจักรวาล Humanคนแรกผานกู่ได้ถือกำเนิดขึ้น ความเป็นหนึ่งมาก่อนความเป็นคู่และสัญลักษณ์ทั้งสี่ปกป้องโลก\nหนี่วาได้สร้างสิ่งมีชีวิตออกมาจากดินเหนี่ยว จากนั้นฝูซีก็ได้วาดภาพแบ่งแยกหยินออกจากหยาง\nร้อยปีแห่งการฝึกตนผ่านไป Humanปุถุชนต่างเข่นฆ่ากันไม่จบไม่สิ้น ทว่าช่วงเวลาร้อยปีพันปีของผู้ฝึกตนนั้นกลับผ่านไปราวกับพริบตา\nยามนี้เมื่อทัณฑ์สวรรค์ผ่านพ้นไป ข้าก็มิขอวิงวอนใดๆ อีก ข้าได้ละทิ้งปัญหาทางโลกเอาไว้เบื้องหลังและเป็นอิสระจากทุกสิ่ง[/color]	SeeGod	
10019	ถูกบุกรุก	[TXT]ได้ส่งกลุ่มศิษย์ชั้นยอดมาโจมตีสำนักขอท่านเพื่อทำการแก้แค้น	Rich	Human
10020	ถูกบุกรุก	[TXT]ได้ส่งศิษย์สายตรงมาโจมตีสำนักขอท่านเพื่อทำการแก้แค้น	Rich	Human
10021	ถูกบุกรุก	[TXT]ได้ส่งผู้อาวุโสสำนักมาโจมตีสำนักขอท่านเพื่อทำการแก้แค้น	Rich	Human
10022	เพลิงโทสะ	การกระทำของท่านทำให้[TXT]รู้สึกไม่พอใจและพวกเขากำลังจะดำเนินลงมือบางอย่าง		
10023	เวลาแห่งทัณฑ์สวรรค์	ฐานการบ่มเพาะของ [NAME] ได้มาถึงจุดคอขวดแล้วและทัณฑ์สวรรค์ก็กำลังจะปรากฏ!		
