ID	Des	Disname
14	เสริมพลังอุปกรณ์ด้วยความรู้ระดับปรมาจารย์ของทักษะอาวุธวิเศษ	ญาณรู้แจ้งวิชา: [TXT]
15	เสริมพลังอุปกรณ์ด้วยความรู้ระดับเริ่มต้นของทักษะอาวุธวิเศษ	ญาณรู้แจ้งวิชา: [TXT]
16	เสริมพลังอุปกรณ์ด้วยความรู้ระดับสูงของทักษะอาวุธวิเศษ	ญาณรู้แจ้งวิชา: [TXT]
17	เสริมพลังอุปกรณ์ด้วยความรู้ระดับผู้เชี่ยวชาญของทักษะอาวุธวิเศษ	ญาณรู้แจ้งวิชา: [TXT]
18	เสริมพลังอุปกรณ์ด้วยความรู้ระดับปรมาจารย์ของทักษะอาวุธวิเศษ	ญาณรู้แจ้งวิชา: [TXT]
19	เสริมพลังอุปกรณ์ด้วยความรู้ระดับเริ่มต้นของทักษะเกราะปราณ	ญาณรู้แจ้งวิชา: [TXT]
20	เสริมพลังอุปกรณ์ด้วยความรู้ระดับสูงของทักษะเกราะปราณ	ญาณรู้แจ้งวิชา: [TXT]
21	เสริมพลังอุปกรณ์ด้วยความรู้ระดับผู้เชี่ยวชาญของทักษะเกราะปราณ	ญาณรู้แจ้งวิชา: [TXT]
22	เสริมพลังอุปกรณ์ด้วยความรู้ระดับปรมาจารย์ของทักษะเกราะปราณ	ญาณรู้แจ้งวิชา: [TXT]
23	เสริมพลังอุปกรณ์ด้วยความรู้ระดับเริ่มต้นของทักษะหลอมโอสถ	ญาณรู้แจ้งวิชา: [TXT]
24	เสริมพลังอุปกรณ์ด้วยความรู้ระดับสูงของทักษะหลอมโอสถ	ญาณรู้แจ้งวิชา: [TXT]
25	เสริมพลังอุปกรณ์ด้วยความรู้ระดับผู้เชี่ยวชาญของทักษะหลอมโอสถ	ญาณรู้แจ้งวิชา: [TXT]
26	เสริมพลังอุปกรณ์ด้วยความรู้ระดับปรมาจารย์ของทักษะหลอมโอสถ	ญาณรู้แจ้งวิชา: [TXT]
27	เสริมพลังอุปกรณ์ด้วยความรู้ระดับเริ่มต้นของทักษะหลอมอาวุธวิเศษ	ญาณรู้แจ้งวิชา: [TXT]
28	เสริมพลังอุปกรณ์ด้วยความรู้ระดับสูงของทักษะหลอมอาวุธวิเศษ	ญาณรู้แจ้งวิชา: [TXT]
29	เสริมพลังอุปกรณ์ด้วยความรู้ระดับผู้เชี่ยวชาญของทักษะหลอมอาวุธวิเศษ	ญาณรู้แจ้งวิชา: [TXT]
30	เสริมพลังอุปกรณ์ด้วยความรู้ระดับปรมาจารย์ของทักษะหลอมอาวุธวิเศษ	ญาณรู้แจ้งวิชา: [TXT]
31	เสริมพลังอุปกรณ์ด้วยความรู้ระดับเริ่มต้นของการบ่มเพาะปราณ	ญาณรู้แจ้งวิชา: [TXT]
32	เสริมพลังอุปกรณ์ด้วยความรู้ระดับสูงของการบ่มเพาะปราณ	ญาณรู้แจ้งวิชา: [TXT]
33	เสริมพลังอุปกรณ์ด้วยความรู้ระดับผู้เชี่ยวชาญของการบ่มเพาะปราณ	ญาณรู้แจ้งวิชา: [TXT]
34	เสริมพลังอุปกรณ์ด้วยความรู้ระดับปรมาจารย์ของการบ่มเพาะปราณ	ญาณรู้แจ้งวิชา: [TXT]
35	เสริมพลังอุปกรณ์ด้วยทักษะจำนวนเล็กน้อย เพื่อเพิ่มพลังอาวุธวิเศษ	ญาณรู้แจ้งทักษะ: เล็กน้อย
36	เสริมพลังอุปกรณ์ด้วยทักษะจำนวนน้อย เพื่อเพิ่มพลังอาวุธวิเศษ	ญาณรู้แจ้งทักษะ: น้อย
37	เสริมพลังอุปกรณ์ด้วยทักษะจำนวนปานกลาง เพื่อเพิ่มพลังอาวุธวิเศษ	ญาณรู้แจ้งทักษะ: ปานกลาง
38	เสริมพลังอุปกรณ์ด้วยทักษะจำนวนมาก เพื่อเพิ่มพลังอาวุธวิเศษ	ญาณรู้แจ้งทักษะ: มาก
39	เสริมพลังอุปกรณ์ด้วยทักษะจำนวนเยอะมาก เพื่อเพิ่มพลังอาวุธวิเศษ	ญาณรู้แจ้งทักษะ: เยอะมาก
40	เสริมพลังอุปกรณ์ด้วยทักษะจำนวนมหาศาล เพื่อเพิ่มพลังอาวุธวิเศษ	ญาณรู้แจ้งทักษะ: มหาศาล
41	เสริมพลังอุปกรณ์ด้วยทักษะจำนวนเล็กน้อย เพื่อเพิ่มพลังปราณเวท	ญาณรู้แจ้งทักษะ: เล็กน้อย
42	เสริมพลังอุปกรณ์ด้วยทักษะจำนวนน้อย เพื่อเพิ่มพลังปราณเวท	ญาณรู้แจ้งทักษะ: น้อย
43	เสริมพลังอุปกรณ์ด้วยทักษะจำนวนปานกลาง เพื่อเพิ่มพลังปราณเวท	ญาณรู้แจ้งทักษะ: ปานกลาง
44	เสริมพลังอุปกรณ์ด้วยทักษะจำนวนมาก เพื่อเพิ่มพลังปราณเวท	ญาณรู้แจ้งทักษะ: มาก
45	เสริมพลังอุปกรณ์ด้วยทักษะจำนวนเยอะมาก เพื่อเพิ่มพลังปราณเวท	ญาณรู้แจ้งทักษะ: เยอะมาก
46	เสริมพลังอุปกรณ์ด้วยทักษะจำนวนมหาศาล เพื่อเพิ่มพลังปราณเวท	ญาณรู้แจ้งทักษะ: มหาศาล
47	เสริมพลังอุปกรณ์ด้วยทักษะจำนวนเล็กน้อย เพื่อเพิ่มพลังเกราะปราณ	ญาณรู้แจ้งทักษะ: เล็กน้อย
48	เสริมพลังอุปกรณ์ด้วยทักษะจำนวนน้อย เพื่อเพิ่มพลังเกราะปราณ	ญาณรู้แจ้งทักษะ: น้อย
49	เสริมพลังอุปกรณ์ด้วยทักษะจำนวนปานกลาง เพื่อเพิ่มพลังเกราะปราณ	ญาณรู้แจ้งทักษะ: ปานกลาง
50	เสริมพลังอุปกรณ์ด้วยทักษะจำนวนมาก เพื่อเพิ่มพลังเกราะปราณ	ญาณรู้แจ้งทักษะ: มาก
51	เสริมพลังอุปกรณ์ด้วยทักษะจำนวนเยอะมาก เพื่อเพิ่มพลังเกราะปราณ	ญาณรู้แจ้งทักษะ: เยอะมาก
52	เสริมพลังอุปกรณ์ด้วยทักษะจำนวนมหาศาล เพื่อเพิ่มพลังเกราะปราณ	ญาณรู้แจ้งทักษะ: มหาศาล
53	เสริมพลังอุปกรณ์ด้วยทักษะจำนวนเล็กน้อย เพื่อเพิ่มอัตราความสำเร็จของอาวุธวิเศษอันยิ่งใหญ่	ญาณรู้แจ้งทักษะ: เล็กน้อย
54	เสริมพลังอุปกรณ์ด้วยทักษะจำนวนน้อย เพื่อเพิ่มอัตราความสำเร็จของอาวุธวิเศษอันยิ่งใหญ่	ญาณรู้แจ้งทักษะ: น้อย
55	เสริมพลังอุปกรณ์ด้วยทักษะจำนวนปานกลาง เพื่อเพิ่มอัตราความสำเร็จของอาวุธวิเศษอันยิ่งใหญ่	ญาณรู้แจ้งทักษะ: ปานกลาง
56	เสริมพลังอุปกรณ์ด้วยทักษะจำนวนมาก เพื่อเพิ่มอัตราความสำเร็จของอาวุธวิเศษอันยิ่งใหญ่	ญาณรู้แจ้งทักษะ: มาก
57	เสริมพลังอุปกรณ์ด้วยทักษะจำนวนเยอะมาก เพื่อเพิ่มอัตราความสำเร็จของอาวุธวิเศษอันยิ่งใหญ่	ญาณรู้แจ้งทักษะ: เยอะมาก
58	เสริมพลังอุปกรณ์ด้วยทักษะจำนวนมหาศาล เพื่อเพิ่มอัตราความสำเร็จของอาวุธวิเศษอันยิ่งใหญ่	ญาณรู้แจ้งทักษะ: มหาศาล
59	เสริมพลังอุปกรณ์ด้วยทักษะจำนวนเล็กน้อย เพื่อเพิ่มผลผลิตการหลอมโอสถ	ญาณรู้แจ้งทักษะ: เล็กน้อย
60	เสริมพลังอุปกรณ์ด้วยทักษะจำนวนน้อย เพื่อเพิ่มผลผลิตการหลอมโอสถ	ญาณรู้แจ้งทักษะ: น้อย
61	เสริมพลังอุปกรณ์ด้วยทักษะจำนวนปานกลาง เพื่อเพิ่มผลผลิตการหลอมโอสถ	ญาณรู้แจ้งทักษะ: ปานกลาง
62	เสริมพลังอุปกรณ์ด้วยทักษะจำนวนมาก เพื่อเพิ่มผลผลิตการหลอมโอสถ	ญาณรู้แจ้งทักษะ: มาก
63	เสริมพลังอุปกรณ์ด้วยทักษะจำนวนเยอะมาก เพื่อเพิ่มผลผลิตการหลอมโอสถ	ญาณรู้แจ้งทักษะ: เยอะมาก
64	เสริมพลังอุปกรณ์ด้วยทักษะจำนวนมหาศาล เพื่อเพิ่มผลผลิตการหลอมโอสถ	ญาณรู้แจ้งทักษะ: มหาศาล
65	เสริมพลังอุปกรณ์ด้วยทักษะจำนวนเล็กน้อย เพื่อเพิ่มความเร็วในการบ่มเพาะ	ญาณรู้แจ้งทักษะ: เล็กน้อย
66	เสริมพลังอุปกรณ์ด้วยทักษะจำนวนน้อย เพื่อเพิ่มความเร็วในการบ่มเพาะ	ญาณรู้แจ้งทักษะ: น้อย
67	เสริมพลังอุปกรณ์ด้วยทักษะจำนวนปานกลาง เพื่อเพิ่มความเร็วในการบ่มเพาะ	ญาณรู้แจ้งทักษะ: ปานกลาง
68	เสริมพลังอุปกรณ์ด้วยทักษะจำนวนมาก เพื่อเพิ่มความเร็วในการบ่มเพาะ	ญาณรู้แจ้งทักษะ: มาก
69	เสริมพลังอุปกรณ์ด้วยทักษะจำนวนเยอะมาก เพื่อเพิ่มความเร็วในการบ่มเพาะ	ญาณรู้แจ้งทักษะ: เยอะมาก
70	เสริมพลังอุปกรณ์ด้วยทักษะจำนวนมหาศาล เพื่อเพิ่มความเร็วในการบ่มเพาะ	ญาณรู้แจ้งทักษะ: มหาศาล
71	เสริมความสามารถในการบินของอาวุธวิเศษ (ต้นแบบดั้งเดิมจะไม่สูญเสียความสามารถนี้ไป)	อาวุธวิเศษบิน
72	เสริมพลังอุปกรณ์ด้วยการเพิ่มทักษะเกราะปราณจำนวนน้อย (ต้นแบบดั้งเดิมจะไม่สูญเสียความสามารถนี้ไป)	เกราะปราณ: น้อย
73	เสริมพลังอุปกรณ์ด้วยการเพิ่มทักษะเกราะปราณจำนวนปานกลาง (ต้นแบบดั้งเดิมจะไม่สูญเสียความสามารถนี้ไป)	เกราะปราณ: ปานกลาง
74	เสริมพลังอุปกรณ์ด้วยการเพิ่มทักษะเกราะปราณจำนวนมาก (ต้นแบบดั้งเดิมจะไม่สูญเสียความสามารถนี้ไป)	เกราะปราณ: มาก
