Tag	TargetType	Q	MA	SA	FA	fParam	sParam
T_Carry_Discuss	0	เจ้านั้นมี[TXT]ติดตัวอยู่ มันจะมีประโยชน์เป็นอย่างมากในบางสถานการณ์ เจ้าคิดรอบคอบยิ่ง!	พวกเราคุยเกี่ยวกับเรื่องนั้นไปแล้วไม่ใช่รึ?	Đúng vậy, ngươi cũng nghĩ [TXT] quan trọng phải không? Ngươi thật thông minh giống ta!	ห๊ะ? เจ้ากำลังพูดเรื่องอะไร? (ยกแขนเสื้อขึ้นมาปกปิดกระเป๋า)		
T_Carry_Ask	0	มันมีอะไรบ้างที่เจ้ามักจะนำมันติดตัวไปด้วย?	พวกเราคุยเกี่ยวกับเรื่องนั้นไปแล้วไม่ใช่รึ?	ข้ามักจะนำ[TXT]ติดตัวไปด้วยเสมอยามเมื่อข้าออกเดินทาง มันอาจจะมีประโยชน์ในบางสถานการณ์	ห๊ะ? เจ้ากำลังพูดเรื่องอะไร? (ยกแขนเสื้อขึ้นมาปกปิดกระเป๋า)		
							
T_Esoterica_Discuss	0	ข้าได้ยินมาว่าเจ้านั้นเก่งกาจด้าน[TXT] นั่นมันเป็นเรื่องที่ยอดเยี่ยมมาก มันคงจะดีเป็นอย่างมากถ้าหากว่าข้ามีทักษะเช่นเจ้า	พวกเราคุยเกี่ยวกับเรื่องนั้นไปแล้วไม่ใช่รึ?	Ngươi là bạn ta, ta có thể dạy ngươi nếu muốn! Với khả năng của ngươi, chắc chắn sẽ dễ dàng thành thạo.	โอ้? แล้วเจ้าต้องการอะไร?		
T_Esoterica_Ask	0	เจ้าเชี่ยวชาญทักษะในด้านไหนงั้นรึ?	พวกเราคุยเกี่ยวกับเรื่องนั้นไปแล้วไม่ใช่รึ?	ข้าค่อนข้างเชี่ยวชาญเกี่ยวกับ[TXT]	Tại sao ta phải nói cho ngươi?		
							
T_Feature_Discuss	0	อันที่จริงข้าก็เป็นคน[TXT]เหมือนกัน ในบางครั้งมันก็รบกวนจิตใจของข้า ทว่าข้าจะทำเช่นไรได้?	พวกเราคุยเกี่ยวกับเรื่องนั้นไปแล้วไม่ใช่รึ?	ใช่ เจ้าก็เป็นเช่นนี้เหมือนกันงั้นรึ? พวกเรานี่เป็นคนประเภทเดียวกันจริงๆ...	เจ้ากำลังพูดเรื่องอะไร? เจ้ากำลังเยาะเย้ยข้าอยู่งั้นรึ?		
T_Feature_Ask	0	(มันไม่เหมาะสมที่จะถามคำถามเช่นนี้แบบเผชิญหน้า มันจะดีกว่าถ้าหากหาข้อมูลเพิ่มเติมจากผู้อื่นแล้วค่อยกลับมาคุยกันทีหลัง)	...	...	...		
							
T_HateItem_Discuss	0	ทำไมสิ่งน่าขยะแขยงอย่าง[TXT]จึงต้องมีอยู่ในโลกด้วย? เจ้าเห็นด้วยหรือไม่?	พวกเราคุยเกี่ยวกับเรื่องนั้นไปแล้วไม่ใช่รึ?	Áaaa! Ngươi cũng ghét [TXT] sao?! Ta cũng nghĩ như ngươi, muốn hủy diệt [TXT] khỏi thế giới này.	What? นี่เจ้ากำลังล้อเลียนข้าอยู่งั้นรึ?		
T_HateItem_Ask	0	มีอะไรที่เจ้าไม่ชอบบ้างหรือไม่?	พวกเราคุยเกี่ยวกับเรื่องนั้นไปแล้วไม่ใช่รึ?	Hừ, ta rất ghét [TXT]. Ta muốn hủy diệt [TXT] khỏi thế giới này.	Tại sao ta phải nói cho ngươi?		
							
T_Hobby_Discuss	0	อันที่จริงแล้ว ข้าเองก็มีความ[TXT]ที่คล้ายๆ กันกับเจ้า... มันเป็นเรื่องที่ค่อนข้างยาว	พวกเราคุยเกี่ยวกับเรื่องนั้นไปแล้วไม่ใช่รึ?	เจ้าเองก็ประสบเคราะห์กรรมเดียวกันกับข้างั้นรึ? ใช่แล้ว มันเป็นเรื่องยากที่คนอื่นจะมาเข้าใจ...	(เปลี่ยนทัศนคติ) ทำไมเจ้าถึงเอ่ยถึงเรื่องนี้?		
T_Hobby_Ask	0	(มันไม่เหมาะสมที่จะถามคำถามเช่นนี้แบบเผชิญหน้า มันจะดีกว่าถ้าหากหาข้อมูลเพิ่มเติมจากผู้อื่นแล้วค่อยกลับมาคุยกันทีหลัง)	...	...	...		
							
T_LikeItem_Discuss	0	Ta rất thích [TXT]. [TXT] làm ta thấy tràn đầy sức sống!	พวกเราคุยเกี่ยวกับเรื่องนั้นไปแล้วไม่ใช่รึ?	Ngươi cũng nghĩ vậy sao? Ta không thể tưởng tượng cuộc sống thiếu [TXT]!	โอ้? ทำไมเจ้าถึงเอ่ยถึงเรื่องนี้?		
T_LikeItem_Ask	0	มีอะไรที่เจ้าชื่นชอบบ้างหรือไม่?	พวกเราคุยเกี่ยวกับเรื่องนั้นไปแล้วไม่ใช่รึ?	Ta rất thích [TXT]. Nói về nó không bao giờ chán! Nó như món quà của trời.	Tại sao ta phải nói cho ngươi?		
							
T_Secret_Discuss	0	Thực ra ta khá tò mò về [TXT], không biết nó thú vị thế nào!	พวกเราคุยเกี่ยวกับเรื่องนั้นไปแล้วไม่ใช่รึ?	ข้าพอจะรู้เรื่องบางอย่างเกี่ยวกับ[TXT] เรื่องมันมีอยู่ว่า...	โอ้? ทำไมเจ้าถึงเอ่ยถึงเรื่องนี้?		
T_Secret_Ask	0	(นี่เป็นหัวข้อที่ยากต่อการพูดคุยเมื่อเจ้าไม่รู้อะไรเลย มันจะดีกว่าถ้าหากหาข้อมูลเพิ่มเติมจากผู้อื่นแล้วค่อยกลับมาคุยกันทีหลัง...)	...	...	...		
