ID	Secret	Title	Type	BeiZhu	Source	Txt	RelationEvidence	RelationMotivation
10	2	ปริศนาแห่งไท้อี้	0	อารามเมฆาม่วง	ผู้อาวุโสแห่งอารามเมฆาม่วง - เฉินถูซี	เมื่อพูดถึงสำนักที่ตั้งอยู่ทางทิศตะวันออกเฉียงใต้แห่งหนึ่งที่ถูกทำลายไปในช่วง [desc_daytime=-20] ผู้อาวุโสเฉินถูซีแห่งอารามเมฆาม่วงพยายามที่จะเลี่ยงในการพูดถึงเรื่องเหล่านั้นด้วยท่าทางที่กังวลใจและหวาดกลัวซึ่งมันดูผิดปกติมาก		
11	2	ปริศนาแห่งไท้อี้	0	สำนักเอกลี้ลับ	ผู้อาวุโสแห่งสำนักเอกลี้ลับ - หลี่ซุนโป	เมื่อพูดถึงสำนักที่ตั้งอยู่ทางทิศตะวันออกเฉียงใต้แห่งหนึ่งที่ถูกทำลายไปในช่วง [desc_daytime=-20] ผู้อาวุโสหลี่ซุนโปแห่งสำนักเอกลี้ลับนั้นนิ่งไปครู่หนึ่งก่อนที่เขาจะพูดว่าเขาไม่รู้เรื่องอะไรเลย อย่างไรก็ตาม การแสดงออกชั่วขณะนั้นดูเหมือนจะบ่งบอกถึงความกังวลใจและความกลัวซึ่งมันดูผิดปกติมาก		
12	2	ปริศนาแห่งไท้อี้	0	ตำหนักคุนหลุน	ผู้อาวุโสแห่งตำหนักคุนหลุน - จี้เจี๋ย	เมื่อพูดถึงสำนักที่ตั้งอยู่ทางทิศตะวันออกเฉียงใต้แห่งหนึ่งที่ถูกทำลายไปในช่วง [desc_daytime=-20] ผู้อาวุโสจี้เจี๋ยแห่งตำหนักคุนหลุน ได้พูดคุยอย่างไม่ปิดบังเกี่ยวกับเรื่องนี้ แต่นางก็ไม่ได้ให้รายละเอียดมาก ทว่าคำพูดของที่ดูโล่งใจของนางบวกกับความกลัวและความกังวลใจที่อธิบายไม่ได้ของนางมันดูผิดปกติมาก 		
13	2	ปริศนาแห่งไท้อี้	0	นิกายม่านฟ้า	ผู้อาวุโสแห่งนิกายม่านฟ้า - ซูปิงล๋วน	เมื่อพูดถึงสำนักที่ตั้งอยู่ทางทิศตะวันออกเฉียงใต้แห่งหนึ่งที่ถูกทำลายไปในช่วง [desc_daytime=-20] ผู้อาวุโสซูปิงล๋วนแห่งนิกายม่านฟ้า นางได้เอ่ยถึงชื่อของสำนักไท้อี้ออกมาตรงๆ นอกจากนี้นางยังได้แสดงความกังวลเกี่ยวกับความโกลาหลในโลกของผู้ฝึกตน อย่างไรก็ตาม แม้ว่าจะเป็นคำพูดจากมุมมองของผู้สังเกตการณ์ ทว่าในคำพูดของนางก็ยังแฝงความหวาดกลัวอยู่ซึ่งมันดูผิดปกติมาก		
14	2	ปริศนาแห่งไท้อี้	1	ภูเขาร้อยแมลง		ไม่ต้องสงสัยเลยว่าภูเขาร้อยแมลงนั้นเป็นตัวการหลักในการทำลายสำนักไท้อี้ ทว่าสำนักไท้อี้นั้นเป็นเพียงสำนักเล็กๆ แห่งหนึ่งที่ไม่ค่อยมีใครรู้จักในหมู่โลกแห่งผู้ฝึกตนทางตะวันออกเฉียงใต้  แล้วสมบัติอะไรกันที่มันไปดึงดูดผู้ฝึกตนที่แข็งแกร่งอย่างภูเขาร้อยแมลงให้ใช้ความสามารถทั้งหมดของพวกเขาในการปล้นชิงและทำลายสำนักไท้อี้?		6
15	2	ปริศนาแห่งไท้อี้	1	สำนักเจ็ดวิถีสังหาร	ผู้อาวุโสแห่งภูเขาร้อยแมลง - ไป๋ซือ	จากคำบอกเล่าของผู้อาวุโสไป๋ซือแห่งภูเขาร้อยแมลง ผู้อาวุโสจากสำนักเจ็ดวิถีสังหารนั้นได้มาเยี่ยมเยียนพวกเขาในช่วง [desc_daytime=-20] ในขณะที่ทุกคนกำลังพูดคุยเกี่ยวกับความลับจากสมัยโบราณ ผู้อาวุโสคนนั้นก็ได้กล่าวถึงความมหัศจรรย์ของของสมบัติโบราณที่เรียกว่า "โลกจักรวาล" เมื่อผู้อาวุโสของภูเขาร้อยแมลงได้ยินเรื่องนี้ พวกเขารู้ว่าสิ่งนี้อาจสามารถส่งเสรืมเพิ่มพูนพลังของจั๊กจั่นทองคำร้อยพิษของภูเขาร้อยแมลงได้เป็นอย่างดี ของสองสิ่งนี้มันเป็นดังสิ่งที่สวรรค์สร้างมาเพื่อคู่กัน	22	7
16	2	ปริศนาแห่งไท้อี้	1	สำนักสราญรมย์	ผู้อาวุโสแห่งภูเขาร้อยแมลง - ไป๋ซือ	จากคำบอกเล่าของผู้อาวุโสไป๋ซือแห่งภูเขาร้อยแมลง สำนักสราญรมย์ได้ส่งผู้อาวุโสหยินเหลียน ผู้ที่เชี่ยวชาญเกี่ยวกับศาสตร์ความรู้ลึกลับโบราณมาเยี่ยมภูเขาของพวกเขาในช่วง [desc_daytime=-20] เจ้าแห่งภูเขาร้อยแมลงพยายามถามถึงสมบัติวิเศษบรรพกาลที่เรียกว่า "โลกจักรวาล" และสิ่งที่ไม่คาดคิดก็คือนางได้บอกเล่าว่าของชิ้นนั้นมันเกี่ยวข้องกับสำนักเล็กๆ แห่งหนึ่งในทิศตะวันออกเฉียงใต้ที่มีชื่อว่าสำนักไท้อี้	23	8
17	2	ปริศนาแห่งไท้อี้	1	นิกายหลุมอเวจี	ผู้อาวุโสแห่งภูเขาร้อยแมลง - ไป๋ซือ	จากคำบอกเล่าของผู้อาวุโสไป๋ซือแห่งภูเขาร้อยแมลง ครั้งหนึ่งในขณะที่นางกำลังเดินทางไปพร้อมกับผู้อาวุโสจากนิกายหลุมอเวจี พวกเขาได้รับข้อความลับจากสายลับที่นิกายหลุมอเวจีส่งเข้าไปแฝงตัวอยู่กับสำนักฝ่ายธรรมะ ผู้อาวุโสจากนิกายหลุมอเวจีได้เปิดเผยข้อความนั้นต่อหน้าของนางและข้อความในนั้นก็ได้กล่าวว่า เจ้าสำนักไท้อี้นั้นกำลังจะทะลวงขอบเขตไปสู่ขอบเขตแก่นทองคำและศิษย์ในสำนักทั้งหมดของพวกเขาได้กลับไปที่ภูเขาจันทร์เพ็ญเพื่อเฉลิมฉลอง	25	9
18	2	ปริศนาแห่งไท้อี้	1	อารามเมฆาม่วง	ผู้อาวุโสแห่งภูเขาร้อยแมลง - ไป๋ซือ	จากคำบอกเล่าของผู้อาวุโสไป๋ซือแห่งภูเขาร้อยแมลง พวกเขากังวลว่า เนื่องจากการที่สำนักไท้อี้มีสมบัติที่ล้ำค่าเช่นนี้ พวกเขาอาจจะมีเบื้องหลังที่ทรงพลังมาก และถ้าหากว่าพวกเขาไม่ถูกกำจัดให้หมดไปในคราเดียวละก็ มันอาจจะมีปัญหามากมายตามมาในอนาคต ในช่วงจังหวะนั้นเองกลุ่มคนปริศนาได้เข้ามาติดต่อกับพวกเขาและได้นำผังค่ายกลมังกรมากับพวกเขาด้วย กลุ่มคนเหล่านั้นได้อ้างว่าพวกเขานั้นเป็นศัตรูกับสำนักไท้อี้และพวกเขาต้องการเข้าร่วมในศึกครั้งนี้ด้วย น่าแปลกใจที่กลุ่มคนปริศนาเหล่านั้นมีปราณที่แข็งแกร่งและบริสุทธิ์สีม่วงจางๆ แผ่ออกมา ดูเหมือนว่ากลุ่มคนพวกนี้นั้นจะมาจากสำนักฝ่ายธรรมะที่มีชื่อว่าอารามเมฆาม่วง	24	10
19	2	ปริศนาแห่งไท้อี้	1	สำนักเอกลี้ลับ	ผู้อาวุโสแห่งอารามเมฆาม่วง - ซินฉี	จากคำบอกเล่าของผู้อาวุโสซินฉีแห่งอารามเมฆาม่วง มีผู้อาวุโสจำนวนมากจากสำนักเอกลี้ลับนั้นได้มาเยี่ยมเยียนพวกเขาในช่วง [desc_daytime=-20] และพวกเขาก็ได้สนทนาแลกเปลี่ยนกันเกี่ยวกับเส้นทางการฝึกตนกันเป็นเวลานานหลายวัน ผู้อาวุโสจากทั้งสองสำนักได้แลกเปลี่ยนความคิดเชิงปรัชญาที่ลึกซึ้งและเรื่องราวประสบการณ์ดีๆ มากมาย อย่างไรก็ตาม ลูกศิษย์ทั่วไปในสำนักกลับถูกสั่งห้ามมิให้เข้าร่วมฟังการสนทนาเต๋าในครั้งนี้ซึ่งมันน่าแปลกเป็นอย่างมาก	26	11
20	2	ปริศนาแห่งไท้อี้	1	ตำหนักคุนหลุน	ผู้อาวุโสแห่งอารามเมฆาม่วง - ซินฉี	จากคำบอกเล่าของผู้อาวุโสซินฉีแห่งอารามเมฆาม่วง คนจากตำหนักคุนหลุนนั้นได้มาเยี่ยมเยียนพวกเขาในช่วง [desc_daytime=-20] และได้แลกเปลี่ยนโอสถชุดหนึ่งกับผังค่ายกล และมันก็ไม่ได้เป็นเพียงผังค่ายกลธรรมดาเท่านั้นแต่มันคือผังค่ายกลมังกร ค่ายกลที่ทรงพลังจากอดีตกาล ยิ่งไปกว่านั้น ตำหนักคุนหลุนเองยังได้ชื่อว่ามีความสามารถในด้านการหลอมโอสถที่ไม่ธรรมดา มันน่าแปลกใจจริงๆ ว่าทำไมพวกเขาถึงได้ทำการแลกเปลี่ยนที่ขาดทุนเช่นนี้	27	12
21	2	ปริศนาแห่งไท้อี้	1	นิกายม่านฟ้า	ผู้อาวุโสแห่งอารามเมฆาม่วง - ซินฉี	จากคำบอกเล่าของผู้อาวุโสซินฉีแห่งอารามเมฆาม่วงในช่วง [desc_daytime=-20] ผู้คนบนภูเขาม่านฟ้านั้นได้ขายชิ้นส่วนของมังกรวารีไปเป็นจำนวนมากในราคาที่ต่ำกว่าปกติเพื่อขยับขยายสำนักของพวกเขา อย่างไรก็ตาม เมื่อเขาพยายามขอซื้อเขาของมังกรวารีเพื่อที่จะนำมันไปสร้างเป็นสมบัติวิเศษ อารามเมฆาม่วงกลับปฏิเสธคำขอของเขา ไม่มีใครรู้ว่าชิ้นส่วนของมังกรวารีเหล่านั้นถูกนำไปใช้ทำอะไรกันแน่	28|29	13
22	2	ปริศนาแห่งไท้อี้	2	สำนักเจ็ดวิถีสังหาร	ผู้อาวุโสแห่งสำนักเจ็ดวิถีสังหาร - หยู๋โม่หลัน	จากคำบอกเล่าของผู้อาวุโสหยู๋โม่หลันแห่งสำนักเจ็ดวิถีสังหาร เจ้าสำนักจากสำนักหลายๆ แห่ง จู่ๆ ก็ได้เริ่มตรวจสอบบันทึกโบราณเกี่ยวกับสมบัติวิเศษบรรพกาลในหอคัมภีร์ของพวกเขาในช่วง [desc_daytime=-20] สำหรับสำนักเจ็ดวิถีสังหารนั้นเป็นที่ทราบกันดีในด้านศาสตร์แห่งการฆ่าฟัน พวกเขาน้อยคนนักที่จะสนใจเรื่องอื่นๆ เช่น ตำนานโบราณ แต่การที่ผู้อาวุโสจำนวนมากจะทำงานร่วมกันในลักษณะนี้ มันจะต้องมีบางอย่างผิดปกติอย่างแน่นอน		
23	2	ปริศนาแห่งไท้อี้	2	สำนักสราญรมย์	ผู้อาวุโสแห่งสำนักสราญรมย์ - หยินเหลียน	จากคำบอกเล่าของผู้อาวุโสหยินเหลียนแห่งสำนักสราญรมย์ นางได้กักตัวเพื่อทำการศึกษาเกี่ยวกับประวัติศาสตร์และความลับโบราณในช่วง [desc_daytime=-20] และนางก็ได้บังเอิญค้นพบเศษหน้ากระดาษชิ้นหนึ่งที่บันทึกเกี่ยวกับสมบัติวิเศษบรรพกาลที่มีชื่อว่า "โลกจักรวาล" ซึ่งมันเป็นมรดกของสำนักเล็กๆ แห่งหนึ่งที่ตั้งอยู่ทางทิศตะวันออกเฉียงใต้ นางแปลกใจมากว่าเหตุใดนางถึงไม่เคยสังเกตุเห็นบันทึกนี้เลยในช่วงหลายสิบปีที่ผ่านมา ต่อมานางก็ได้ถูกท่านเจ้าสำนักเรียกตัวให้เดินทางไปยังภูเขาร้อยแมลง น่าแปลกมากที่คนของภูเขาร้อยแมลงนั้นได้เอ่ยถามถึงเรื่องของ "โลกจักรวาล" ในทันทีที่นางไปถึง เหตุการณ์นี้ดูเหมือนว่าจะเป็นเรื่องบังเอิญที่แปลกประหลาดสำหรับนาง นอกจากนี้ ท่านยังสังเกตเห็นว่าผู้อาวุโสหยินเหลียนมีหยกโบราณที่มีตราประทับที่แปลกประหลาดมากชิ้นหนึ่งอยู่กับตัว รูปลักษณ์ของมันนั้นดูโบราณและดูเหมือนว่ามันจะเป็นส่วนหนึ่งของผนึกอะไรซักอย่างที่มีความซับซ้อนเป็นอย่างมาก เมื่อพบว่ามันมีค่าควรแก่การจดจำ ดังนั้นท่านจึงจดจำรายละเอียดของมันได้		
24	2	ปริศนาแห่งไท้อี้	2	นิกายหลุมอเวจี	ศิษย์จากนิกายหลุมอเวจี - จูเฟย	จากคำบอกเล่าของจูเฟย ผู้เป็นศิษย์จากนิกายหลุมอเวจี เขามีหน้าที่รับผิดชอบในการส่งข้อความของนิกายให้กับสายลับที่แฝงตัวอยู่ในที่ราบตอนกลาง อย่างไรก็ตาม เมื่อเขารายงานข่าวสารประจำวันให้กับผู้อาวุโสของสำนักในช่วง [desc_daytime=-20] ผู้อาวุโสไม่พยายามปกปิดข้อมูลจากสตรีแปลกหน้าที่อยู่ข้างๆ เขาเลยแม้แต่น้อย อีกทั้งยังขอให้เขารายงานข้อมูลลับโดยตรงต่อหน้าสตรีนางนั้น ในเวลานั้น เขาคิดว่าสตรีผู้นั้นเป็นเพียงผู้อาวุโสอีกคนในนิกายที่เขาไม่เคยพบมาก่อน ทว่ากลายเป็นว่าสตรีนางนั้นกลับเป็นคนจากภูเขาร้อยแมลง ผู้อาวุโสผู้นั้นเป็นคนที่รักษากฎอยู่เสมอ ดังนั้นการที่มีเรื่องแบบนี้เกิดขึ้นจึงแปลกมาก		
25	2	ปริศนาแห่งไท้อี้	2	อารามเมฆาม่วง	ศิษย์จากอารามเมฆาม่วง - ฉินเจี๋ย	จากคำบอกเล่าของฉินเจี๋ย ศิษย์จากอารามเมฆาม่วง เขากำลังจะทะลวงขอบเขตเข้าสู่แก่นทองคำในช่วง [desc_daytime=-20] และได้ข้อร้องให้อาจารย์ของเขาทำการปกป้องเขาในช่วงนั้น อย่างไรก็ตาม อาจารย์ของเขาและผู้อาวุโสคนอื่นๆ ในสำนัก จู่ๆ ก็ได้ประกาศอย่างกะทันหันว่าพวกเขาจะเข้าฌานเพื่อทำความเข้าใจเกี่ยวกับเต๋าอันยิ่งใหญ่ ดังนั้นพวกเขาจะทำการปิดด่านเป็นเวลาหลายวัน เมื่อการปิดด่านสิ้นสุดลง อาจารย์ของเขากลับได้รับบาดเจ็บเนื่องจากไม่สามารถทำความเข้าใจเต๋าได้ และโอกาสในการสร้างแก่นทองคำที่เขารอมานานหลายปีก็สูญเปล่าเช่นกัน เขาไม่เข้าใจจริงๆ ว่าทำไมอาจารย์ของเขาซึ่งปฏิบัติต่อเขาเสมือนเป็นลูกชายแท้ๆ มาตลอดถึงได้ละทิ้งเขาในช่วงเวลาที่สำคัญเช่นนี้และไปเข้าร่วมการปิดด่านที่แปลกประหลาดนั้น		
26	2	ปริศนาแห่งไท้อี้	2	สำนักเอกลี้ลับ	ผู้อาวุโสแห่งสำนักเอกลี้ลับ - เย่ไป๋เสวี่ย	จากคำบอกเล่าของผู้อาวุโสเย่ไป๋เสวี่ยแห่งสำนักเอกลี้ลับ ในช่วง [desc_daytime=-20] นางและผู้อาวุโสในสำนักอีกหลายสิบคนได้รับคำสั่งจากเจ้าสำนักให้ไปยังอารามเมฆาม่วงและทำการแลกเปลี่ยนความรู้กับผู้อาวุโสของพวกเขา อย่างไรก็ตาม อารามเมฆาม่วงทำเพียงแค่ส่งผู้ฝึกตนไร้ชื่อกลุ่มหนึ่งมาร่วมสนทนาแลกเปลี่ยนความรู้กับพวกนาง อีกทั้งความรู้ของคนกลุ่มนั้นยังอยู่ต่ำกว่าระดับของพวกนางอยู่หลายขั้น การกระทำเช่นนี้จึงทำให้นางโกรธเป็นอย่างมาก		
27	2	ปริศนาแห่งไท้อี้	2	ตำหนักคุนหลุน	ผู้อาวุโสแห่งตำหนักคุนหลุน - หลี่เว่ยหยาน	จากคำบอกเล่าของผู้อาวุโสหลี่เว่ยหยานแห่งตำหนักคุนหลุน พวกเขาได้ถูกส่งไปยังอารามเมฆาม่วงโดยคำสั่งเจ้าสำนักของพวกเขาในช่วง [desc_daytime=-20] และให้ทำการแลกเปลี่ยนผังค่ายกลอันล้ำค่าของพวกเขากับโอสถของอารามเมฆาม่วงซึ่งเป็นโอสถที่พวกเขาไม่ค่อยต้องการเป็นจำนวนมาก หลี่เว่ยหยานไม่เคยทำการค้าที่ไร้ประโยชน์เช่นนี้มาก่อนเลยตั้งแต่ที่เขาได้รับมอบหมายให้ดูแลคลังสมบัติ นี่จึงทำให้เขารู้สึกหงุดหงินเป็นอย่างมาก		
28	2	ปริศนาแห่งไท้อี้	2	นิกายม่านฟ้า	ผู้อาวุโสแห่งนิกายม่านฟ้า - เซี่ยซือ	จากคำบอกเล่าของผู้อาวุโสเซี่ยซือแห่งนิกายม่านฟ้า ในช่วง [desc_daytime=-20] เจ้านิกายของพวกเขาได้ขายชิ้นส่วนของมังกรวารีในราคาที่ต่ำกว่าปกติไปเป็นจำนวนมากให้แก่อารามเมฆาม่วง โดยเจ้าสำนักบอกกับเขาว่าเขาต้องการเงินทุนในการขยายนิกาย อย่างไรก็ตาม แม้จะเตรียมการสำหรับการขยายนิกายมาเป็นเวลานาน เขาทำแม้กระทั่งละทิ้งการหลอมสมบัติวิเศษที่เกือบจะเสร็จแล้วเพื่อการนั้นด้วยซ้ำ ทว่าสุดท้ายเขากลับได้รับแจ้งว่าแผนการขยายนิกายได้ถูกยกเลิก มันช่างน่าเสียดายจริงๆ		
29	2	ปริศนาแห่งไท้อี้	2	ตำหนักคุนหลุน	ผู้อาวุโสแห่งตำหนักคุนหลุน - กู่คง	จากคำบอกเล่าของผู้อาวุโสกู่คงแห่งตำหนักคุนหลุน การจัดวางค่ายกลมังกรนั้นจำเป็นต้องใช้ชิ้นส่วนจากมังกรเพื่อเป็นเครื่องมือในการสร้างแกนย่อยที่ใช้กระตุ้นกลไกแห่งวิญญาณผ่านลมหายใจของมังกร มีเพียงวิธีนี้เท่านั้นที่ค่ายกลจึงจะสามารถแสดงอำนาจที่แท้จริงและทำการกักขังปราณของสวรรค์และโลกเอาไว้ได้ นอกจากนี้ท่านยังสังเกตุเห็นตราผนึกที่แปลกประหลาดมากบนผังค่ายกลที่ผู้อาวุโสกู่คงกำลังศึกษาอยู่ ดูเหมือนว่ามันจะเป็นส่วนหนึ่งของผนึกอะไรซักอย่างที่มีความซับซ้อนเป็นอย่างมาก เมื่อพบว่ามันมีค่าควรแก่การจดจำ ดังนั้นท่านจึงจดจำรายละเอียดของมันได้		
30	10000	ความลับโบราณ	0		ความลับโบราณ: สนามรบซากสวรรค์ เล่มที่ 15	จากคำบอกเล่าของ "ความลับโบราณ: สนามรบซากสวรรค์ เล่มที่ 15" เผ่าพันธ์มนุษย์นั้นได้รับชัยชนะในมหาสงครามแห่งเซียนและปีศาจเมื่อครั้งบรรพกาล มหาสงครามทั้งสองครั้งนั้นเป็นชัยชนะอันขมขื่นสำหรับบรรดาผู้ฝึกตนบนโลก การสูญเสียครั้งใหญ่ทำให้เหล่าผู้ฝึกตนของมหาราชวังบูรพาคาดการณ์ไปถึงสงครามครั้งที่สามระหว่างเซียนและปีศาจ ดังนั้นพวกเขาจึงสร้างสมบัติวิเศษที่เรียกว่า "โลกจักรวาล" ขึ้นมาเพื่อใช้เป็นมิติหลบภัยสุดท้ายของมนุษย์ในยามที่มหาสงครามอุบัติขึ้นมาอีกครั้ง		
