蓝布薄衣衫	Blue Fabric Thin Shirt
天真论	Innocent Discourse
无上神符	Peerless Divine Incantation
借天符	Heavenlent Talisman
遮天符	Heavenshrouding Talisman
云行法	Cloud Walking Method
东木分神书	Eastern Wood Spirit-Splitting Method
分神之术	Spirit-Splitting Technique
心斋	Heart's Retreat
养吾经	Nourishing Self Scripture
吸星掌	Star-Sucking Palm
天魔舞	Heavenly Demon Dance
心印诀	Chant of Resonance
寄情之术	Emotion-Projecting Technique
坐忘论	Sitting Forgetfulness Treatise
七情剑	Seven Emotions Sword
魂体寄生	Soul Parasitism
风月幻境	Illusory Realm of Wind and Moon
如意幻境	Illusory Realm of Ruyi
同心诀	Unified Heart Technique
脱胎换骨	Rebirth Through Transformation
长生诀	Longevity Technique
心剑	Heart Sword
再造形神之术	Body-Spirit Reformation Art
太上忘情	Supreme Emotionless State
秘宝：清宁飞羽	Treasure: Tranquil Feathers
慧剑斩念	Wisdom Sword Severing Thoughts
风神云体	Wind God Cloud Body
斩道见我	Severing the Dao to See the Self
斩念剑	Thought-Severing Sword
极情剑	Extreme Passion Sword
玉京飞流法	Jade Capital Flying Current Method
元磁灭绝神光	Primordial Magnetic Annihilation Beam
和光同尘	Harmonizing Light with Dust
回光诀	Returning Light Formula
五气归源	Five Qi Origin Return
玉清定境	Jade Clarity Stabilized Realm
万法归藏	Myriad Laws Return to Cang
谷神大法	Great Method of Valley Spirit
庚金神雷	Geng Metal Divine Thunder
回春诀	Spring Return Technique
烈焰决	Blazing Flame Technique
厚土之盾	Shield of Fertile Earth
大衍神算	Derivative Calculation
周天神算	Universal Foresight
六壬神算	Astrological Foresight
元始之胎	Primordial Womb
秘宝：戊己杏黄旗	Treasure: Yellow Apricot Flag of Wuji
玉清太虚神雷	Jade Purity Void Divine Thunder Technique
庚金元神	Geng Metal Primordial Spirit
庚金元神·圆满	Geng Metal Primordial Soul · Great Perfection
甲木元神	Jia Wood Primordial Spirit
甲木元神·圆满	Jia Wood Primordial Soul · Great Perfection
壬水元神	Ren Water Primordial Spirit
壬水元神·圆满	Ren Water Primordial Soul · Great Perfection
丙火元神	Bing Fire Primordial Spirit
丙火元神·圆满	Yang Fire Primordial Soul · Great Perfection
戊土元神	Wu Earth Primordial Spirit
戊土元神·圆满	Wu Earth Primordial Soul · Great Perfection
太阴锻体	Lunar Forging Body
少阴锻体	Body Forging of Lesser Yin
玄阴锻体	Body Forging of Profound Yin
神行术	Divine Movement Technique
瞬形法	Instant Form Method
九州大法	Nine Provinces Great Method
辟邪真法	Evil-Warding True Method
幽剑	Phantom Sword
地母玄经	Mystic Scripture of Earth Mother
凝珀诀	Amber Condensation Formula
摄神御鬼大法	Spirit-Capture Ghost Control Art
九幽炼神	Nine Nethers Spirit Refinement
尘暴术	Dust Storm Technique
八极炼形诀	Eight Extremities Body Refinement
灵视神观	Spiritual Vision Divine Observation
太虚元罡	Great Void Primordial Gang
太虚神盾	Great Void Divine Shield
瞬霎诀	Instant Flash Technique
太阴诀	Lunar Formula
少阴诀	Lesser Yin Formula
玄阴诀	Profound Yin Formula
渊狱诀	Abyss Prison Formula
幽狱诀	Nether Prison Technique
通幽秘传	Secret Transmission of Nether Passage
幽淬之法	Ghostly Tempering Technique
灵淬之法	Spirit Refinement Method
坤元真气	Earthly Origin True Qi
厚德篇	Virtuous Chapter
虚空谒神法	Void God-Invoking Method
坏灭诀	Annihilation Technique
一剑	One Sword
秘宝：一剑	Treasure: Single Sword
