ItemName	Descript
Item_BossZhuLong_LongYu	โกลาหล, ความต้านทาน, สัตว์ร้าย
Item_BossZhuLong_TianLin	ป้องกัน, สัตว์ร้าย
Item_Dan_FenShen1	โบราณ, สีแดง, วิญญาณย่อย
Item_Dan_FenShen2	โชคชะตา, สีแดง, วิญญาณย่อย
Item_Dan_FenShen3	สภาวะจิต, สีแดง, วิญญาณย่อย
Item_Yao_CatSoul	ลูกกลอน, สีฟ้า, วิญญาณย่อย
Item_WhiteHair	ตำรา, สีฟ้า, สีขาว
Item_BossFeng_HuoYu	สมบัติวิญญาณ, สีแดง, สัตว์ร้าย
Item_BossFeng_GangYu	ไฟ, สัตว์ร้าย
Item_BossFeng_Gu	กระดูก, แข็ง, สัตว์ร้าย
Item_DragonScale	สีฟ้า, สมบัติวิญญาณ, สัตว์ร้าย
Item_BossLong_Zhua	แหลมคม, สัตว์ร้าย
Item_BossLong_Lin	สีฟ้า, ป้องกัน, สัตว์ร้าย
Item_BossZhuLong_BaiLin	สีขาว, สัตว์ร้าย
Item_BossZhuLong_HeiLin	สีดำ, สัตว์ร้าย
Item_BossFeng_Meat	อาหาร, สัตว์ร้าย, สีแดง
Item_BossLong_Meat	อาหาร, หลากสี, สัตว์ร้าย
Item_BossZhuLong_Meat	เมล็ดเต๋า, อาหาร, สัตว์ร้าย
Item_Dan_Restore	ฟื้นฟู, สีเหลือง, ผง
Item_Dan_SwordBall	ลูกกลอน, สีฟ้า
Item_Dan_Ling3	ผง, สีเหลือง
Item_Dan_Thin	เม็ดเล็กๆ, สีฟ้า, รูปร่างหน้าตา
Item_Dan_FaceLock	เม็ดเล็กๆ, สีแดง, รูปร่างหน้าตา
Item_Dan_FaceUnLock	เม็ดเล็กๆ, ธาตุดิน, รูปร่างหน้าตา
Item_Dan_Soul1	เม็ดเล็กๆ, แนวคิด, อายุขัย
Item_Dan_Soul2	เม็ดเล็กๆ, ไฟ, แนวคิด
Item_Dan_Soul3	เม็ดเล็กๆ, ธาตุดิน, แนวคิด
Item_Dan_Soul4	เม็ดเล็กๆ, สติปัญญา, แนวคิด
Item_QiZhi	การรู้แจ้ง, ขวด, ธาตุน้ำ
Item_Fall_LingZhi	การรู้แจ้ง, ขวด, ธาตุทอง
Item_Winter_LingZhi	การรู้แจ้ง, ขวด, ไอหนาว
Item_Spring_LingZhi	การรู้แจ้ง, ขวด, ไม้
Item_Summer_LingZhi	การรู้แจ้ง, ขวด, ธาตุไฟ
Item_Earth_LingZhi	การรู้แจ้ง, ขวด, ธาตุดิน
Item_SoulCrystalYou	มณีวิญญาณ, ไม่มีธาตุ, การเจ็บปวด
Item_SoulCrystalNing	มณีวิญญาณ, ไม่มีธาตุ, ความสงบ
Item_SoulCrystalLing	มณีวิญญาณ, ไม่มีธาตุ, ความสุข
Item_GodPractice_MiJuan	ตำรา, ไม่มีธาตุ
Item_สีม่วงGanodermaLucidum	สีม่วง, วิญญาณ, อาหาร
Item_HorseFromFei	ปุกปุย,ไม่มีธาตุ,ธาตุน้ำ
Item_HorseFromLuShu	ปุกปุย,ไม่มีธาตุ,ธาตุไฟ
Item_WuDang_HuangJingFen	ผง. สีขาว. ไม้
Item_Dan_WuQiNoHunger2	ทรงกลม. อาหาร. ไม้
Item_Dan_SanHuaHuangJing	ไม้. ปราณ. สีเหลือง
