房间	Room
<font color=MYCOLOR>程雪青</font>看到<font color=HECOLOR>仰厚</font>打老远过来，就向他挥了挥手，打了个招呼。	<font color=MYCOLOR>Cheng Xueqing</font> spotted <font color=HECOLOR>Yang Hou</font> approaching from afar and waved to greet [HIM].
6天 19:47	6d 19:47
<font color=MYCOLOR>程雪青</font>打了个哈欠。	<font color=MYCOLOR>Cheng Xueqing</font> yawned.
7天 05:17	7d 05:17
晨光初露，<font color=MYCOLOR>程雪青</font>看<font color=HECOLOR>仰厚</font>好像正无聊，就拉着他聊了聊关于<font color=OBJCOLOR>灵晶地板</font>的事。	"At dawn's first light, <font color=MYCOLOR>Cheng Xueqing</font> noticed <font color=HECOLOR>Yang Hou</font> seemed bored, so struck up a conversation about <font color=OBJCOLOR>Spirit Crystal Flooring</font>."
7天 06:42	7d 06:42
8天 19:53	8d 19:53
日暮时分，<font color=MYCOLOR>程雪青</font>正在<font color=OBJCOLOR>工作</font>。看<font color=HECOLOR>轩辕士</font>从旁边经过，就抬手打了个招呼。但<font color=HECOLOR>轩辕士</font>面无表情的看了一眼，并没有回应，这让<font color=MYCOLOR>程雪青</font>心里一堵。	"At dusk, <font color=MYCOLOR>Cheng Xueqing</font> was <font color=OBJCOLOR>working</font>. Seeing <font color=HECOLOR>Xuanyuan</font> pass by, she waved at him. However, <font color=HECOLOR>Xuanyuan</font> merely glanced at her expressionlessly without responding, which left <font color=MYCOLOR>Cheng Xueqing</font> feeling a bit upset."
8天 20:22	8d 20:22
<font color=MYCOLOR>程雪青</font>虽然被<font color=OBJCOLOR>做噩梦</font>的情绪困扰，但他还是把<font color=OBJCOLOR>家常菜</font>做的十分美味。	"Though troubled by the emotions of <font color=OBJCOLOR>nightmares</font>, <font color=MYCOLOR>Cheng Xueqing</font> still managed to cook <font color=OBJCOLOR>home-style dishes</font> with exceptional flavor."
9天 04:47	9d 04:47
9天 05:13	9d 05:13
<font color=MYCOLOR>程雪青</font>想把<font color=OBJCOLOR>寒精弓</font>整理一下。	<font color=MYCOLOR>Cheng Xueqing</font> wants to tidy up <font color=OBJCOLOR>Ice Essence Bow</font>.
9天 05:44	9d 05:44
<font color=MYCOLOR>程雪青</font>觉得有点无聊。	<font color=MYCOLOR>Cheng Xueqing</font> felt somewhat bored.
9天 16:39	9d 16:39
<font color=MYCOLOR>程雪青</font>突然觉得左眼跳了跳。	<font color=MYCOLOR>Cheng Xueqing</font> suddenly felt [POSSESSIVE] left eye twitch.
9天 18:27	9d 18:27
<font color=MYCOLOR>程雪青</font>很喜欢<font color=OBJCOLOR>晴天</font>。	<font color=MYCOLOR>Cheng Xueqing</font> really enjoys <font color=OBJCOLOR>sunny days</font>.
11天 00:40	11d 00:40
破晓时分，<font color=MYCOLOR>程雪青</font>在烹饪<font color=OBJCOLOR>家常菜</font>时，突然流下眼泪。	"At dawn's break, <font color=MYCOLOR>Cheng Xueqing</font> suddenly tears welled up while cooking <font color=OBJCOLOR>simple home cooking</font>."
12天 06:08	12d 06:08
12天 20:14	12d 20:14
<font color=MYCOLOR>程雪青</font>想把<font color=OBJCOLOR>寒精弓</font>清洁一下。	<font color=MYCOLOR>Cheng Xueqing</font> wants to clean <font color=OBJCOLOR>Ice Essence Bow</font>.
15天 03:19	15d 03:19
<font color=MYCOLOR>程雪青</font>想把<font color=OBJCOLOR>狼皮薄衣衫</font>换掉。	<font color=MYCOLOR>Cheng Xueqing</font> wants to replace <font color=OBJCOLOR>Wolf Hide Thin Shirt</font>.
15天 03:56	15d 03:56
松柏之侧，<font color=MYCOLOR>程雪青</font>在<font color=OBJCOLOR>烹饪</font><font color=OBJCOLOR></font>时，突然心中一动，对耕作一道又有感悟。	"By the pine and cypress trees, <font color=MYCOLOR>Cheng Xueqing</font> gained new insight into farming while <font color=OBJCOLOR>cooking</font>"
15天 06:51	15d 06:51
16天 06:18	16d 06:18
19天 03:43	19d 03:43
<font color=MYCOLOR>程雪青</font>不知道怎么回事，莫名其妙发了发呆。	<font color=MYCOLOR>Xueqing</font> somehow spaced out inexplicably.
21天 05:35	21d 05:35
<font color=MYCOLOR>程雪青</font>拍了拍灰尘。	<font color=MYCOLOR>Cheng Xueqing</font> dusted [ITS] off.
22天 12:18	22d 12:18
<font color=MYCOLOR>程雪青</font>抿了抿嘴。	<font color=MYCOLOR>Cheng Xueqing</font> pursed [ENHIM] lips.
24天 00:39	24d 00:39
<font color=MYCOLOR>程雪青</font>在喝<font color=OBJCOLOR>水</font>时，脑海中突然浮现<font color=OBJCOLOR>董之柔</font>的模样。	<font color=MYCOLOR>Cheng Xueqing</font> suddenly saw the image of <font color=OBJCOLOR>Dong Zhirou</font> while drinking <font color=OBJCOLOR>water</font>.
25天 09:15	25d 09:15
<font color=MYCOLOR>程雪青</font>看到<font color=HECOLOR>轩辕士</font>打老远过来，就向他挥了挥手，打了个招呼。	<font color=MYCOLOR>Cheng Xueqing</font> saw <font color=HECOLOR>Xuanyuan Shi</font> approaching from afar and waved to greet him.
26天 16:50	26d 16:50
26天 17:30	26d 17:30
27天 06:43	27d 06:43
28天 12:57	28d 12:57
<font color=MYCOLOR>程雪青</font>因<font color=OBJCOLOR>风水良好</font>心情不错，烹饪<font color=OBJCOLOR>家常菜</font>时都忍不住哼着小曲儿。	"<font color=MYCOLOR>Cheng Xueqing</font> felt particularly cheerful due to the <font color=OBJCOLOR>auspicious feng shui</font>, humming tunes while preparing <font color=OBJCOLOR>home-style dishes</font>."
29天 07:46	29d 07:46
30天 11:55	30d 11:55
<font color=MYCOLOR>程雪青</font>想把<font color=OBJCOLOR>狼皮薄衣衫</font>整理一下。	<font color=MYCOLOR>Cheng Xueqing</font> wants to tidy up the <font color=OBJCOLOR>Wolf Hide Thin Shirt</font>.
32天 19:21	32d 19:21
晴空万里，<font color=MYCOLOR>程雪青</font>在烹饪<font color=OBJCOLOR>家常菜</font>时，突然觉得莫名烦躁。	"Under clear skies, <font color=MYCOLOR>Cheng Xueqing</font> felt strangely agitated while <font color=OBJCOLOR>preparing simple meals</font>."
35天 03:38	35d 03:38
36天 13:55	36d 13:55
36天 19:17	36d 19:17
38天 03:56	38d 03:56
万里无云，<font color=MYCOLOR>程雪青</font>在烹饪<font color=OBJCOLOR>家常菜</font>时，突然想吃<font color=OBJCOLOR>面粉</font>。	"Under cloudless skies, <font color=MYCOLOR>Cheng Xueqing</font> suddenly developed a craving for <font color=OBJCOLOR>flour</font> while cooking <font color=OBJCOLOR>home-style dishes</font>."
41天 02:58	41d 02:58
46天 09:41	46d 09:41
<font color=MYCOLOR>程雪青</font>看着旁边的<font color=OBJCOLOR>野草</font>若有所思。	<font color=MYCOLOR>Cheng Xueqing</font> gazes thoughtfully at the <font color=OBJCOLOR>wild grass</font>.
49天 17:40	49d 17:40
<font color=MYCOLOR>程雪青</font>在喝<font color=OBJCOLOR>水</font>时，突然很想家。	"While drinking <font color=OBJCOLOR>water</font>, <font color=MYCOLOR>Cheng Xueqing</font> is suddenly overcome with homesickness."
50天 21:31	50d 21:31
程	Cheng
雪青	Xueqing
轩辕士	Xuanyuan Scholar
胜	Sheng
贺	He
珊	Shan
毕	Bi
绍	Shao
<font color=MYCOLOR>轩辕士</font>踩到了什么东西。	<font color=MYCOLOR>Xuanyuan Shi</font> stepped on something.
1天 10:07	1d 10:07
<font color=MYCOLOR>轩辕士</font>打了个嗝。	<font color=MYCOLOR>Xuanyuan Shi</font> burped.
3天 06:27	3d 06:27
<font color=MYCOLOR>轩辕士</font>看到<font color=HECOLOR>仰厚</font>打老远过来，就向他挥了挥手，打了个招呼。	<font color=MYCOLOR>Xuanyuan Shi</font> spotted <font color=HECOLOR>Yang Hou</font> approaching from afar and waved to greet [HIM].
4天 07:18	4d 07:18
<font color=MYCOLOR>轩辕士</font>鞋里进了东西。	<font color=MYCOLOR>Xuanyuan Shi</font> got something in [ITS] shoe.
4天 15:45	4d 15:45
<font color=MYCOLOR>轩辕士</font>想把<font color=OBJCOLOR>千里神视符</font>换掉。	<font color=MYCOLOR>Xuanyuan Shi</font> wants to replace <font color=OBJCOLOR>Talisman of Foreseer</font>.
5天 09:25	5d 09:25
<font color=MYCOLOR>轩辕士</font>想把<font color=OBJCOLOR>紫布修行衣衫</font>清洁一下。	<font color=MYCOLOR>Xuanyuan Shi</font> wants to clean the <font color=OBJCOLOR>Purple Fabric Sect Uniform</font>.
6天 12:38	6d 12:38
华灯初上，<font color=MYCOLOR>轩辕士</font>刚刚吃饱喝足，正满意的拍肚子，看到<font color=HECOLOR>程雪青</font>刚好在旁边，就和她打了个招呼。但没想到<font color=HECOLOR>程雪青</font>却并不想理他，这让<font color=MYCOLOR>轩辕士</font>觉得很尴尬。	"As the lanterns lit up the evening, <font color=MYCOLOR>Xuanyuan</font>, having just had a satisfying meal, patted his belly contentedly. Spotting <font color=HECOLOR>Cheng Xueqing</font> nearby, he greeted her. To his surprise, <font color=HECOLOR>Cheng Xueqing</font> ignored him, leaving <font color=MYCOLOR>Xuanyuan</font> feeling awkward."
<font color=MYCOLOR>轩辕士</font>揉了揉肚子。	<font color=MYCOLOR>Xuanyuan Shi</font> rubbed [ITS] stomach.
9天 17:34	9d 17:34
<font color=MYCOLOR>轩辕士</font>在吃<font color=OBJCOLOR>干锅田鸡</font>时，突然想起自己的<font color=OBJCOLOR>父亲轩辕兴业</font>。	<font color=MYCOLOR>Shi of Xuanyuan</font> was eating <font color=OBJCOLOR>Crispy & Spicy Frog Legs</font> when [HE] suddenly remembered [HIS] <font color=OBJCOLOR>father Xingye</font>.
9天 19:53	9d 19:53
<font color=MYCOLOR>轩辕士</font>突然觉得左眼跳了跳。	<font color=MYCOLOR>Xuanyuan Shi</font> suddenly felt [POSSESSIVE] left eye twitch.
14天 17:38	14d 17:38
<font color=MYCOLOR>轩辕士</font>在喝<font color=OBJCOLOR>水</font>时，脑海中突然浮现<font color=OBJCOLOR>席信</font>的模样。	<font color=MYCOLOR>Xuanyuan Shi</font> suddenly envisioned <font color=OBJCOLOR>Xi Xin</font>'s appearance while drinking <font color=OBJCOLOR>water</font>.
16天 04:59	16d 04:59
17天 08:56	17d 08:56
<font color=MYCOLOR>轩辕士</font>很喜欢<font color=OBJCOLOR>晴天</font>。	<font color=MYCOLOR>Xuanyuan Shi</font> really enjoys <font color=OBJCOLOR>sunny days</font>.
20天 12:18	20d 12:18
<font color=MYCOLOR>轩辕士</font>在吃<font color=OBJCOLOR>肉干</font>时，突然想起自己的<font color=OBJCOLOR>父亲轩辕兴业</font>。	<font color=MYCOLOR>Xuanyuan Shi</font> suddenly remembered [HIS] <font color=OBJCOLOR>father Xuanyuan Xingye</font> while eating <font color=OBJCOLOR>dried meat</font>.
26天 17:17	26d 17:17
<font color=MYCOLOR>轩辕士</font>不知道怎么回事，莫名其妙发了发呆。	<font color=MYCOLOR>Xuanyuan</font> somehow spaced out inexplicably.
28天 16:12	28d 16:12
<font color=MYCOLOR>轩辕士</font>好像听到有谁在喊自己的名字。	<font color=MYCOLOR>Xuanyuan Shi</font> thought [POSSESSIVE] heard someone call [POSSESSIVE] name.
28天 19:56	28d 19:56
<font color=MYCOLOR>轩辕士</font>有些关于<font color=OBJCOLOR>正派</font>的事想找人聊聊，	<font color=MYCOLOR>Xuanyuan Shi</font> wants to discuss something about <font color=OBJCOLOR>Righteous Path</font> with someone
28天 20:54	28d 20:54
<font color=MYCOLOR>轩辕士</font>眼睛进了沙子。	<font color=MYCOLOR>Xuanyuan Shi</font> got sand in [ITS] eyes.
31天 21:33	31d 21:33
<font color=MYCOLOR>轩辕士</font>看到<font color=HECOLOR>程雪青</font>打老远过来，就向她挥了挥手，打了个招呼。	<font color=MYCOLOR>Xuanyuan Shi</font> saw <font color=HECOLOR>Cheng Xueqing</font> approaching from afar and waved to greet her.
32天 19:51	32d 19:51
33天 09:29	33d 09:29
<font color=HECOLOR>程雪青</font>闲逛路过，看到<font color=MYCOLOR>轩辕士</font>正被热到意识模糊，就拉着他聊了聊关于<font color=OBJCOLOR>搬运</font>的事。	<font color=HECOLOR>Xueqing</font> was strolling by when [THEY] noticed <font color=MYCOLOR>Xuanyuan Shi</font> suffering from heatstroke. [THEY] pulled [THEM] aside to chat about <font color=OBJCOLOR>hauling</font>.
40天 13:54	40d 13:54
<font color=MYCOLOR>轩辕士</font>快乐的享受着进食的乐趣，看<font color=HECOLOR>程雪青</font>好像正无聊，就拉着她聊了聊关于<font color=OBJCOLOR>过往</font>的事。	<font color=MYCOLOR>Xuanyuan Shi</font> was happily enjoying [THEIR] meal when [THEY] noticed <font color=HECOLOR>Xueqing Cheng</font> seemed listless. [THEY] initiated a chat about <font color=OBJCOLOR>the past</font>.
40天 19:45	40d 19:45
<font color=MYCOLOR>轩辕士</font>很喜欢<font color=OBJCOLOR>工作</font>。	<font color=MYCOLOR>Xuanyuan Shi</font> really enjoys <font color=OBJCOLOR>working</font>.
41天 10:19	41d 10:19
<font color=MYCOLOR>轩辕士</font>拍了拍灰尘。	<font color=MYCOLOR>Xuanyuan Shi</font> dusted [ITS] off.
48天 06:18	48d 06:18
早食之刻，<font color=MYCOLOR>轩辕士</font>看<font color=HECOLOR>师咏</font>好像正无聊，就拉着她聊了聊关于<font color=OBJCOLOR>气感</font>的事。	"At the morning meal, <font color=MYCOLOR>Xuanyuan Shi</font> noticed <font color=HECOLOR>Shi Yong</font> seemed bored, so [HE] engaged her in a conversation about <font color=OBJCOLOR>Qi awareness</font>"
50天 07:01	50d 07:01
<font color=MYCOLOR>轩辕士</font>看到<font color=HECOLOR>李飞扬</font>打老远过来，就向他挥了挥手，打了个招呼。	<font color=MYCOLOR>Xuanyuan Shi</font> saw <font color=HECOLOR>Li Feiyang</font> approaching from afar and waved to greet him.
50天 20:11	50d 20:11
轩辕	Xuanyuan
士	Shi
程雪青	Cheng Xueqing
兴业	Xingye
言	Yan
诗蕊	Shirui
<font color=MYCOLOR>董之柔</font>被<font color=OBJCOLOR>有点冷</font>的情绪困扰，只能<font color=OBJCOLOR>随便看看</font>来放空心灵。	"<font color=MYCOLOR>Dong Zhirou</font> was troubled by a <font color=OBJCOLOR>slight chill</font> in [HER] mood, and could only <font color=OBJCOLOR>let [HER] gaze wander</font> to clear [HER] mind."
4天 21:39	4d 21:39
晴空万里，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>观云卷云舒</font>时，突然发出一声长叹。	"Under a clear sky, <font color=MYCOLOR>Dong Zhirou</font> suddenly gave a deep sigh while <font color=OBJCOLOR>observing the ever-changing clouds</font>."
5天 09:54	5d 09:54
万里无云，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>夜观星象</font>时，突然流下眼泪。	"Under cloudless skies, <font color=MYCOLOR>Dong Zhirou</font> suddenly shed tears while <font color=OBJCOLOR>observing stars at night</font>."
6天 02:33	6d 02:33
<font color=MYCOLOR>董之柔</font>因<font color=OBJCOLOR>多姿多彩</font>心情不错，忍不住来<font color=OBJCOLOR>奏乐</font>抒怀。	"<font color=MYCOLOR>Dong Zhirou</font>, delighted by <font color=OBJCOLOR>vibrant surroundings</font>, impulsively played <font color=OBJCOLOR>music</font> to vent joy."
6天 09:33	6d 09:33
天朗气清，<font color=MYCOLOR>董之柔</font>一个人<font color=OBJCOLOR>读书品卷</font>，突然思绪万千。	"On a clear and bright day, <font color=MYCOLOR>Dong Zhirou</font> was suddenly lost in thought while <font color=OBJCOLOR>reading and savoring texts</font> alone."
6天 13:08	6d 13:08
天朗气清，<font color=MYCOLOR>董之柔</font>静静的<font color=OBJCOLOR>奏乐</font>，突然想起自己的<font color=OBJCOLOR>父亲董明</font>。	"On a clear day, <font color=MYCOLOR>Dong Zhirou</font> quietly <font color=OBJCOLOR>played music</font> and suddenly remembered [HER] <font color=OBJCOLOR>father Dong Ming</font>."
7天 10:12	7d 10:12
绿荫之下，<font color=MYCOLOR>董之柔</font>静静的<font color=OBJCOLOR>观云卷云舒</font>，突然想起自己的<font color=OBJCOLOR>父亲董明</font>。	"Beneath verdant shade, <font color=MYCOLOR>Dong Zhirou</font> quietly <font color=OBJCOLOR>watched the drifting clouds</font> when memories of <font color=OBJCOLOR>his/her father Dong Ming</font> unexpectedly arose."
7天 14:22	7d 14:22
<font color=MYCOLOR>董之柔</font>被<font color=OBJCOLOR>需要武器</font>的情绪困扰，只能<font color=OBJCOLOR>奏乐</font>来放空心灵。	<font color=MYCOLOR>Dong Zhirou</font> is troubled by the emotion of <font color=OBJCOLOR>needing a weapon</font> and can only <font color=OBJCOLOR>play music</font> to clear [their] mind.
8天 13:02	8d 13:02
万里无云，<font color=MYCOLOR>董之柔</font>一个人<font color=OBJCOLOR>奏乐</font>，突然思绪万千。	"Under cloudless skies, <font color=MYCOLOR>Zhirou</font> was alone <font color=OBJCOLOR>performing music cultivation</font> when [HER] was suddenly lost in thought."
8天 14:00	8d 14:00
<font color=MYCOLOR>董之柔</font>被<font color=OBJCOLOR>有点热</font>的情绪困扰，只能<font color=OBJCOLOR>奏乐</font>来放空心灵。	<font color=MYCOLOR>Zhirou</font> was troubled by <font color=OBJCOLOR>feeling hot</font> and could only <font color=OBJCOLOR>engaged in musical cultivation</font> to clear [HER] mind.
10天 01:01	10d 01:01
人定之时，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得旁边的<font color=OBJCOLOR>火铜琴台</font>很有意思……	"During the evening watch, <font color=MYCOLOR>Dong Zhirou</font> found the nearby <font color=OBJCOLOR>Igneocopper Zither Table</font> quite intriguing while <font color=OBJCOLOR>playing music</font>.."
10天 22:51	10d 22:51
日中之时，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>奏乐</font>时，突然很想家。	"At midday, <font color=MYCOLOR>Zhirou</font> was overcome with homesickness during <font color=OBJCOLOR>performing music</font>."
11天 12:11	11d 12:11
晴空万里，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>看天花板</font>时，突然觉得旁边的<font color=OBJCOLOR>梧桐木法座</font>很有意思……	"Under a clear sky, <font color=MYCOLOR>Dong Zhirou</font> suddenly found the nearby <font color=OBJCOLOR>Parasol Wood Qi Cushion</font> unexpectedly captivating while <font color=OBJCOLOR>studying the ceiling</font>.."
11天 13:09	11d 13:09
夕食之刻，<font color=MYCOLOR>董之柔</font>一个人<font color=OBJCOLOR>读书品卷</font>，突然思绪万千。	"At dinner time, <font color=MYCOLOR>Dong Zhirou</font> was alone <font color=OBJCOLOR>perusing scrolls</font> when suddenly [THEIR] mind was lost in thought."
12天 16:02	12d 16:02
天朗气清，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得莫名烦躁。	"On a clear and bright day, <font color=MYCOLOR>Dong Zhirou</font> suddenly felt unaccountably restless while <font color=OBJCOLOR>playing music</font>."
13天 07:46	13d 07:46
14天 01:53	14d 01:53
<font color=MYCOLOR>董之柔</font>因<font color=OBJCOLOR>温度舒适</font>心情不错，忍不住来<font color=OBJCOLOR>跳舞</font>抒怀。	"<font color=MYCOLOR>Dong Zhirou</font>, pleased by <font color=OBJCOLOR>comfortable temperature</font>, couldn't help but <font color=OBJCOLOR>dance</font> to express delight."
14天 05:15	14d 05:15
天朗气清，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>看天花板</font>时，突然想吃<font color=OBJCOLOR>龟肉</font>。	"On this clear day, <font color=MYCOLOR>Dong Zhirou</font> had a sudden craving for <font color=OBJCOLOR>turtle meat</font> while <font color=OBJCOLOR>staring at the ceiling</font>."
14天 11:43	14d 11:43
夜幕深沉，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>跳舞</font>时，突然觉得很气闷。	"In the depth of night, <font color=MYCOLOR>Dong Zhirou</font> suddenly felt stifled while <font color=OBJCOLOR>dancing</font>."
14天 22:10	14d 22:10
绿荫之下，<font color=MYCOLOR>董之柔</font>一个人<font color=OBJCOLOR>跳舞</font>，突然思绪万千。	"Under the shade of trees, <font color=MYCOLOR>Zhirou</font> was alone <font color=OBJCOLOR>dancing</font> when [HER] was suddenly lost in thought."
15天 01:16	15d 01:16
门派中，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>奏乐</font>时，突然想去<font color=OBJCOLOR>邪帝陵</font>看看。	"Within the sect, <font color=MYCOLOR>Zhirou</font> suddenly felt drawn to visit the <font color=OBJCOLOR>Evil Emperor's Tomb</font> while <font color=OBJCOLOR>playing music</font>."
17天 12:45	17d 12:45
万里无云，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>看天花板</font>时，突然想吃<font color=OBJCOLOR>牛肉</font>。	"Under a cloudless sky, <font color=MYCOLOR>Zhirou</font> suddenly craved <font color=OBJCOLOR>Bull Meat</font> while <font color=OBJCOLOR>staring at the ceiling</font>."
18天 13:05	18d 13:05
<font color=MYCOLOR>董之柔</font>被<font color=OBJCOLOR>需要武器</font>的情绪困扰，只能<font color=OBJCOLOR>跳舞</font>来放空心灵。	<font color=MYCOLOR>Dong Zhirou</font> is troubled by the emotion <font color=OBJCOLOR>'Need Weapon'</font> and can only <font color=OBJCOLOR>dance</font> to clear [HER] mind.
19天 18:08	19d 18:08
夜幕深沉，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>看天花板</font>时，突然流下眼泪。	"In the depth of night, <font color=MYCOLOR>Dong Zhirou</font> suddenly tears welled up while <font color=OBJCOLOR>staring at the ceiling</font>."
19天 21:13	19d 21:13
绿荫之下，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>跳舞</font>时，突然想吃<font color=OBJCOLOR>牛肉</font>。	"Under green shade, <font color=MYCOLOR>Dong Zhirou</font> suddenly had a craving for <font color=OBJCOLOR>Bull Meat</font> while <font color=OBJCOLOR>dancing</font>."
20天 06:20	20d 06:20
晴空万里，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得很气闷。	"Under clear skies, <font color=MYCOLOR>Dong Zhirou</font> suddenly felt stifled while <font color=OBJCOLOR>playing music</font>."
20天 11:19	20d 11:19
夜深之时，<font color=MYCOLOR>董之柔</font>一个人<font color=OBJCOLOR>读书品卷</font>，突然思绪万千。	"Late at night, <font color=MYCOLOR>Dong Zhirou</font> was alone <font color=OBJCOLOR>perusing scrolls</font> when suddenly [THEIR] mind was lost in thought."
20天 23:11	20d 23:11
