Name	DisplayName	Tips
EsoWorldDrop	ดรอปจากโลก	สามารถได้รับตำราจากรางวัลตำราแบบสุ่มระหว่างการผจญภัย
EquipModifier	เอฟเฟกต์อุปกรณ์	เอฟเฟกต์พิเศษที่ได้รับเมื่อสวมใส่อุปกรณ์ชิ้นนี้
EsoModifier	เอฟเฟกต์ตำรา	เอฟเฟกต์พิเศษที่ได้รับเมื่อศึกษาตำราเล่มนี้
MaterialSelect	วัสดุหลัก	ชนิดของวัสดุหลักที่ต้องใช้ในการสร้างไอเทม
BuildSelect	อาคารที่ต้องใช้	อาคารที่ต้องมีเพื่อประดิษฐ์ไอเทม
MainCostItemCount	จำนวนวัสดุหลัก	จำนวนฐานของวัสดุหลักที่ต้องใช้ในการสร้างไอเทม (ช่วงค่า: 1–999)
DanSelect	สูตรเอลิกเซียร์	สูตรเอลิกเซียร์ที่สามารถเรียนได้จากตำรา
ModSelect	โมเดล	โมเดลของอาวุธ
Ignorelimit	ไม่สนเพดานเลเวล	โบนัสระดับสกิลนี้จะไม่สนเพดานเลเวลสกิล 20 หรือไม่
PpTypeSelect	ชนิดโบนัส	ชนิดของโบนัสค่าสถานะ
