ID	Name	Desc	EndDesc
10	ค้นพบถ้ำลับ	ว่ากันว่ามีถ้ำลึกลับที่เป็นของเซียนโบราณคนหนึ่งได้ปรากฏขึ้นที่[TXT] หมือนว่าเจ้าของถ้ำนั้นจะเป็นปรมาจารย์ด้านการหลอมโอสถ ผู้ที่ซึ่งสร้างกับดักและวางเวทย์ป้องกันเอาไว้นับไม่ถ้วนเอาไว้ด้วยทักษะด้านนี้ ไม่มีใครสามารถสำรวจถ้ำและเอาชีวิตรอดออกไปได้หากปราศจากความชำนาญในด้านการหลอมโอสถ	ถ้ำเซียนที่[TXT]ได้ปรากฏออกมาและขุมทรัพย์ภายในนั้นก็ถูกผู้ฝึกตนคนอื่นแย่งชิงไปแล้ว
11	ร่อยรอยของคัมภีร์โบราณ	ว่ากันว่าในเมืองมนุษย์ได้มีการค้นพบคัมภีร์โบราณที่เคยหายสาบสูญไปจากสุสานเซียนโบราณคนหนึ่ง ทว่าคัมภีร์เล่มที่ว่านันกลับถูกส่งไปให้กับใครบางคนและได้สูญหายไปที่[TXT]	คัมภีร์โบราณได้ถูกค้นพบที่[TXT]และได้ถูกผู้ฝึกตนบางคนเก็บเอาไว้
12	ค้นพบคัมภีร์ลับ	ว่ากันว่าได้มีผู้ฝึกตนบางคนได้พบเบาะแสเกี่ยวคัมภีร์ลับที่ถูกเซียนจากสมัยโบราณฝังเอาไว้ที่[TXT]	ผู้ฝึกตนปริศนาได้พบเจอโชควาสนาและได้รับคัมภีร์ลับเล่มนั้นไป
14	ค้นพบคัมภีร์คาถา	ว่ากันว่าที่[TXT]ได้มีการค้นพบจารึกผามังกรและสงสัยว่าอาจจะมีพลังวิเศษที่สูญหายไปในสมัยโบราณซ่อนอยู่ในนั้น	ผู้ฝึกตนปริศนาได้นำเวทคาถาที่อยู่ในจารึกออกไปแล้ว
15	ค้นพบคัมภีร์คาถา	ว่ากันว่าที่[TXT]ได้มีการค้นพบจารึกผามังกรและสงสัยว่าอาจจะมีพลังวิเศษที่สูญหายไปในสมัยโบราณซ่อนอยู่ในนั้น อย่างไรก็ตาม เนื่องจากการรบกวนความสมดุลของพลังปราณระหว่างสวรรค์และโลก จึงทำให้พื้นที่โดยรอบนั้นถูกปกคลุมไปด้วยความหนาวเย็น ([temperature]-150[/temperature])	ผู้ฝึกตนปริศนาได้นำเวทคาถาที่อยู่ในจารึกออกไปแล้ว
16	ค้นพบคัมภีร์คาถา	ว่ากันว่าที่[TXT]ได้มีการค้นพบจารึกผามังกรและสงสัยว่าอาจจะมีพลังวิเศษที่สูญหายไปในสมัยโบราณซ่อนอยู่ในนั้น อย่างไรก็ตาม เนื่องจากการรบกวนความสมดุลของพลังปราณระหว่างสวรรค์และโลก จึงทำให้พื้นที่โดยรอบนั้นถูกปกคลุมไปด้วยไฟอันร้อนระอุ ([temperature]500[/temperature])	ผู้ฝึกตนปริศนาได้นำเวทคาถาที่อยู่ในจารึกออกไปแล้ว
17	ร่องรอยของสำนักมาร	ศิษย์ของสำนักมารนั้นถูกพบเห็นที่[TXT] และดูเหมือนว่าพวกเขากำลังยุ่งอยู่กับบางสิ่ง	ศิษย์ของสำนักมารที่เคยปรากฏตัวที่[TXT]นั้นได้จากไปแล้ว
18	ร่องรอยของสำนักมาร	ศิษย์ชั้นยอดของสำนักมารนั้นถูกพบเห็นที่[TXT] และดูเหมือนว่าพวกเขากำลังยุ่งอยู่กับบางสิ่ง	ศิษย์ของสำนักมารที่เคยปรากฏตัวที่[TXT]นั้นได้จากไปแล้ว
19	ร่องรอยของสำนักมาร	ผู้อาวุโสของสำนักมารนั้นถูกพบเห็นที่[TXT] และดูเหมือนว่าพวกเขากำลังยุ่งอยู่กับบางสิ่ง	ศิษย์ของสำนักมารที่เคยปรากฏตัวที่[TXT]นั้นได้จากไปแล้ว
20	ร่องรอยของสำนักธรรมะ	ศิษย์ของสำนักฝ่ายธรรมะนั้นถูกพบเห็นที่[TXT] และดูเหมือนว่าพวกเขากำลังยุ่งอยู่กับบางสิ่ง	ศิษย์ของสำนักฝ่ายธรรมมะที่เคยปรากฏตัวที่[TXT]นั้นได้จากไปแล้ว
21	ร่องรอยของสำนักธรรมะ	ศิษย์ชั้นยอดของสำนักฝ่ายธรรมะนั้นถูกพบเห็นที่[TXT] และดูเหมือนว่าพวกเขากำลังยุ่งอยู่กับบางสิ่ง	ศิษย์ของสำนักฝ่ายธรรมมะที่เคยปรากฏตัวที่[TXT]นั้นได้จากไปแล้ว
22	ร่องรอยของสำนักธรรมะ	ผู้อาวุโสของสำนักฝ่ายธรรมะนั้นถูกพบเห็นที่[TXT] และดูเหมือนว่าพวกเขากำลังยุ่งอยู่กับบางสิ่ง	ศิษย์ของสำนักฝ่ายธรรมมะที่เคยปรากฏตัวที่[TXT]นั้นได้จากไปแล้ว
23	ขุมทรัพย์ลับ	อ้างอิงจากบันทึกการเดินทางของอวี๋เฟิงจื่อ: เล่มที่ 6 มีบันทึกว่าบรรพจารย์ฮุนหยวนได้ถูกปิดล้อมโจมตีโดยหกสำนักมารหุบเขาแห่งหนอนที่ตั้งอยู่ในป่าแดนใต้และสมบัติล้ำค่าที่สุดที่เขาพกติดตัวไปด้วยก็สูญหายไปในหุบเขา	
24	ขุมทรัพย์ลับ	อ้างอิงจาก บันทึกภาคผนวก: เล่มที่ 2 เกาะสราญรมย์นั้นก็คือกายหยาบที่เหลืออยู่ของมังกรบรรพกาลตัวหนึ่งหลังจากที่มันได้จุติขึ้นสู่แดนสวรรค์ไปได้ ทะเลสาบมังกรพิษบนเกาะนี้ว่ากันว่าเป็นที่ตั้งของหัวใจของมังกรบรรพกาล ภายในนั้นมันก็มีโลกอยู่อีกโลกหนึ่ง	
25	ขุมทรัพย์ลับ	อ้างอิงจากบันทึกการเดินทางของอวี๋เฟิงจื่อ: เล่มที่ 1 ว่ากันว่ายังมีถ้ำภายในลึกลับอีกแห่งที่ถูกซ่อนอยู่ในถ้ำหมอเทวดาที่ตั้งอยู่บนยอดเขาโอสถ	
26	ขุมทรัพย์ลับ	อ้างอิงจากบันทึกลับหยุนจี: ทะเลทรายไร้ขอบเขต ก็คือทะเลทรายก่อตัวขึ้นจากอุกกาบาตที่ตกลงมาจากฟากฟ้าในสมัยโบราณ	
27	ขุมทรัพย์ลับ	อ้างอิงจากบันทึกภาคผนวก: เล่มที่ 1 ข้างใต้ทะเลสาบสวรรค์ที่ตั้งอยู่ในภูเขาบัวห้าสี มีสถานที่แห่งหนึ่งที่ในอดีตจักรพรรดิเซินหนงเคยใช้เป็นสถานที่ในการปิดด่านกักตน ข้างในเป็นแผนที่รายละเอียดที่ควรค่าแก่การสำรวจ	
28	ขุมทรัพย์ลับ	อ้างอิงจากบันทึกการเดินทางของอวี๋เฟิงจื่อ: เล่มที่ 2 ว่ากันว่าครั้งหนึ่งเคยมีปีศาจสวรรค์ตัวหนึ่งได้ถูกผนึกเอาไว้ภายในป่าพันหนามที่ตั้งอยู่ที่ตีนเขาศิลาทมิฬ ตราบใดที่ท่านปฏิบัติตามวิธีลับ ท่านก็จะสามารถสื่อสารกับมันและอาจจะได้รับพลังบางอย่างกลับมา	
29	ค้นพบวิชาบ่มเพาะโบราณ	มีข่าวลือว่าที่[TXT]นั้นมีดวงดาวร่วงหล่นในเวลากลางวันและพื้นดินก็เบ่งบานเต็มไปด้วยดอกบัวสีทอง นี่อาจจะเป็นลางที่บ่งบอกได้ว่ากำลังจะมีปรากฎการณ์ที่เกี่ยวข้องกับวิชาบ่มเพาะของเซียนโบราณเกิดขึ้นในเร็ววันนี้ เมื่อข่าวนี้แพร่ออกไปมันจึงดึงดูดเหล่าผู้ฝึกตนมากมายให้มายังสถานที่แห่งนี้	ผู้ฝึกตนปริศนาได้รับเอาวิชาบ่มเพาะที่ซ่อนอยู่ภายในสถานที่แห่งนี้ไปแล้ว
30	ค้นพบวิชาบ่มเพาะโบราณ	มีข่าวลือว่าที่[TXT]นั้นมีดวงดาวร่วงหล่นในเวลากลางวันและพื้นดินก็เบ่งบานเต็มไปด้วยดอกบัวสีทอง นี่อาจจะเป็นลางที่บ่งบอกได้ว่ากำลังจะมีปรากฎการณ์ที่เกี่ยวข้องกับวิชาบ่มเพาะของเซียนโบราณเกิดขึ้นในเร็ววันนี้ เมื่อข่าวนี้แพร่ออกไปมันจึงดึงดูดเหล่าผู้ฝึกตนมากมายให้มายังสถานที่แห่งนี้	ผู้ฝึกตนปริศนาได้รับเอาวิชาบ่มเพาะที่ซ่อนอยู่ภายในสถานที่แห่งนี้ไปแล้ว
31	ค้นพบวิชาบ่มเพาะโบราณ	มีข่าวลือว่าที่[TXT]นั้นมีดวงดาวร่วงหล่นในเวลากลางวันและพื้นดินก็เบ่งบานเต็มไปด้วยดอกบัวสีทอง นี่อาจจะเป็นลางที่บ่งบอกได้ว่ากำลังจะมีปรากฎการณ์ที่เกี่ยวข้องกับวิชาบ่มเพาะของเซียนโบราณเกิดขึ้นในเร็ววันนี้ เมื่อข่าวนี้แพร่ออกไปมันจึงดึงดูดเหล่าผู้ฝึกตนมากมายให้มายังสถานที่แห่งนี้	ผู้ฝึกตนปริศนาได้รับเอาวิชาบ่มเพาะที่ซ่อนอยู่ภายในสถานที่แห่งนี้ไปแล้ว
32	ค้นพบวิชาบ่มเพาะโบราณ	มีข่าวลือว่าที่[TXT]นั้นมีดวงดาวร่วงหล่นในเวลากลางวันและพื้นดินก็เบ่งบานเต็มไปด้วยดอกบัวสีทอง นี่อาจจะเป็นลางที่บ่งบอกได้ว่ากำลังจะมีปรากฎการณ์ที่เกี่ยวข้องกับวิชาบ่มเพาะของเซียนโบราณเกิดขึ้นในเร็ววันนี้ เมื่อข่าวนี้แพร่ออกไปมันจึงดึงดูดเหล่าผู้ฝึกตนมากมายให้มายังสถานที่แห่งนี้	ผู้ฝึกตนปริศนาได้รับเอาวิชาบ่มเพาะที่ซ่อนอยู่ภายในสถานที่แห่งนี้ไปแล้ว
33	ค้นพบวิชาบ่มเพาะโบราณ	มีข่าวลือว่าที่[TXT]นั้นมีดวงดาวร่วงหล่นในเวลากลางวันและพื้นดินก็เบ่งบานเต็มไปด้วยดอกบัวสีทอง นี่อาจจะเป็นลางที่บ่งบอกได้ว่ากำลังจะมีปรากฎการณ์ที่เกี่ยวข้องกับวิชาบ่มเพาะของเซียนโบราณเกิดขึ้นในเร็ววันนี้ เมื่อข่าวนี้แพร่ออกไปมันจึงดึงดูดเหล่าผู้ฝึกตนมากมายให้มายังสถานที่แห่งนี้	ผู้ฝึกตนปริศนาได้รับเอาวิชาบ่มเพาะที่ซ่อนอยู่ภายในสถานที่แห่งนี้ไปแล้ว
34	ค้นพบวิชาบ่มเพาะโบราณ	มีข่าวลือว่าที่[TXT]นั้นมีดวงดาวร่วงหล่นในเวลากลางวันและพื้นดินก็เบ่งบานเต็มไปด้วยดอกบัวสีทอง นี่อาจจะเป็นลางที่บ่งบอกได้ว่ากำลังจะมีปรากฎการณ์ที่เกี่ยวข้องกับวิชาบ่มเพาะของเซียนโบราณเกิดขึ้นในเร็ววันนี้ เมื่อข่าวนี้แพร่ออกไปมันจึงดึงดูดเหล่าผู้ฝึกตนมากมายให้มายังสถานที่แห่งนี้	ผู้ฝึกตนปริศนาได้รับเอาวิชาบ่มเพาะที่ซ่อนอยู่ภายในสถานที่แห่งนี้ไปแล้ว
39	กล่องหินไท้อี้	มีข่าวลือมาว่าเมื่อเร็วๆ นี้นายพรานจากหมู่บ้านหนานปิงได้พบร่างที่ไร้ลมหายใจร่างหนึ่งอยู่ที่ตีนเขาจันทร์เพ็ญ ร่างๆ นั้นมีกล่องหินที่ซึ่งคงกระพันต่อทั้งน้ำและไฟ ซึ่งสิ่งๆ นี้มันน่าอัศจรรย์มาก\n (เปิดใช้งานความลับแล้ว โปรดไปที่เมนู [color=#D06508]โลก[/color]  และกดเลือกปุ่มความลับเพื่อตรวจสอบ คลิกที่ความลับเพื่อเดินทางไปยังตำแหน่งของมัน หากไม่มีตำแหน่ง ท่านสามารถผจญภัยเพิ่มเติมเพื่อปลดล็อกตำแหน่งใหม่ได้)	
40	หวนคืนสู่ไท้อี้	ผ่านไปนานกว่าครึ่งเดือนแล้ว ข้าสงสัยว่าเจ้าพวกบัดซบที่โจมตีสำนักไท้อี้ในคืนนั้นจากไปรึยัง ข้าควรลองกลับไปตรวจสอบสำนักไท้อี้ดูเสียหน่อยดีกว่า บางทีข้าอาจจะพบเสาะแสบางอย่างที่ยังหลงเหลืออยู่ก็ได้	
41	ประกาศิตเซียนกระบี่	มีข่าวลือกันในหมู่ผู้ฝึกตนว่าเจ็ดปีศาจแห่งลัทธิพันวิญญาณได้แหกคุกออกมาจากถ้ำกระบี่พันธนาการที่ตั้งอยู่บนภูเขาซู ดังนั้นภูเขาซูจึงได้ออกประกาศิตเซียนกระบี่เพื่อเชิญเหล่าผู้ฝึกตนจากทั่วทุกมุมโลกให้ช่วยออกตามล่าพวกปีศาจเหล่านี้และพวกเขาจะมอบรางวัลให้แก่ผู้ที่สามารถทำการเรื่องนี้ได้สำเร็จ	เจ็ดปีศาจแห่งลัทธิพันวิญญาณได้ถูกสังหารลงแล้ว ภูเขาซูจึงได้ประกาศยกเลิกประกาศิตเซียนกระบี่
42	ร่องรอยของลัทธิปีศาจ	มีข่าวลือหนาหูว่าเจ็ดปีศาจแหงลัทธิพันวิญญาณได้หลบหนีไปยัง[TXT]และเพื่อที่จะฟื้นพลังให้ตนเอง พวกมันได้จับตัวคนธรรมดาไปเพื่อดูดกลืนวิญญาณของพวกคนเหล่านั้น บางทีพวกเราอาจจะอาศํยจังหวะนี้ในการจัดการวางกับดักเพื่อที่จะจับตัวพวกมันได้ก็ได้	เจ็ดปีศาจแหงลัทธิพันวิญญาณได้หายตัวไปจากสถานที่แห่งนี้แล้ว
43	เทศกาลแห่งเขาคุนหลุน	ในแต่ละปีเทศกาลแห่งเขาคุนหลุนจะถูกจัดขึ้นเป็นเวลานาน 7 วัน สำนักต่างๆ ในโลก ไม่ว่าจะเป็นสำนักฝ่ายมารหรือฝ่ายธรรมะ ต่างก็ส่งศิษย์ที่ยอดเยี่ยมที่สุดของตนเองมาเพื่อเป็นตัวแทนสำนักในการแข่งขันประชันฝีมือกันในด้านต่างๆ	เทศกาลแห่งเขาคุนหลุนได้จบลงแล้ว
44	เทศกาลชะตาเซียน	เทศกาลชะตาเซียนอันยิ่งใหญ่ ซึ่งถูกจัดขึ้นทุกปีในโลกของผู้ฝึกตนได้เริ่มขึ้นแล้ว สำนักหลักทั้งหมดได้เข้าร่วมกิจกรรมที่[TXT]เพื่อรับสมัครศิษย์รุ่นใหม่ที่มีศักยภาพ ในช่วงเวลานี้ เหล่าผู้มีพรสวรรค์ทั้งหมดในโลกที่ปรารถนาจะแสวงหาหนทางแห่งความเป็นอมตะต่างก็ได้มารวมตัวกันที่นี่	เทศกาลชะตาเซียนได้จบลงแล้ว
45	การเปิดของสุสานจักรพรรดิอสูร	ถึงเวลาแล้วที่สุสานจักรพรรดิอสูรที่ตั้งอยู่ในป่าแดนใต้จะเปิดขึ้นมาอีกครั้ง ซึ่งปรากฏการนี้จะเกิดขึ้นทุกๆ 3 ปี ว่ากันว่าสุสานจะเปิดออกนานเป็นระยะเวลา 28 วันและผู้ที่ถูกลิขิตอาจจะได้รับมรดกของจักรพรรดิอสูรมาไว้ในมือ ในช่วงเวลานี้ที่ผู้คนจากทั่วโลกของผู้ฝึกตนต่างก็ได้มารวมตัวกันที่ป่าแดนใต้	สุสานจักรพรรดิอสูรได้ปิดลงแล้ว
46	เปิดผนึกกล่องทองคำ	เมื่อเร็วๆ นี้ระดับน้ำของทะเลสาบศิลาหยกที่ตั้งอยู่ในแดนหิมะนิรันดร์ได้เพิ่มสูงขึ้น ซึ่งมันเป็นข้อบ่งชี้ว่าขุมทรัพย์ทองคำในนั้นกำลังจะเปิดออกภายในอีก 7 วัน ภายในกล่องทองคำนั้นประกอบด้วยสมบัติหายากมากมายที่จักรพรรดิปีศาจฟู่ปี้ขงได้เก็บสมบัติที่เขาได้รับมาจากทั่วทุกมุมโลกเอาไว้ การเปิดออกของมันในแต่ละครั้งได้ดึงดูดเหล่าผู้ฝึกตนจำนวนมากมายังสถานที่แห่งนี้	กล่องทองคำได้ปิดลงแล้วและสมบัติที่ไหลออกมาในครั้งนี้ก็ได้ถูกปล้นชิงออกไปจนหมด
47	ความวุ่นวายจากต่างโลก	มีข่าวลือมาจากเมืองทิวทัศน์สมุทรว่าที่บริเวณทะเลแถวๆ นั้นได้ถูกปกคลุมไปด้วยเมฆและหมอกหนาที่จู่ๆ ก็ได้ปรากฏขึ้นมาอย่างกะทันหันบนทะเลทางเหนือ ว่ากันว่าผู้ที่เข้าไปสำรวจนั้นไม่เคยมีใครได้กลับออกมาอีกเลย	
48	ปริศนาต่างโลก	รอยแยกต่างมิติได้ปรากฏตัวขึ้นอีกครั้งในโลก บางทีโชคชะตาอาจกำลังรอผู้ที่เหมาะสมให้ไปหามันอยู่	
49	เย่เสวียเซียนพนัน	มีข่าวลือว่าเย่เสวียนั้นป้วนเปี้ยนอยู่แถวๆ [TXT] ว่ากันว่าชายผู้นี้ชอบเดินทางไปทั่วโลกเพื่อสะสมสมบัติล้ำค่า เขามีบุคลิกที่แปลกประหลาดและการพนันก็คือชีวิตของเขาและเขามักจะเดิมพันสมบัติของเขากับอายุขัยส่วนหนึ่งของผู้ที่มาท้าทาย ในช่วงร้อยปีที่ผ่านมาได้มีเหล่าผู้ฝึกตนจำนวนนับไม่ถ้วนที่ได้สูญเสียชีวิตทั้งหมดไปกับการพนันกับเขา นี่จึงทำให้เขามีศัตรูอยู่ค่อนข้างมากทีเดียว อย่างไรก็ตาม แม้จะมีคนตามล่าเขามากมายทว่ากลับไม่มีใครสามารถจับตัวเขาได้เลยเนื่องจากวิชาหลบหนีของเขาล้ำเลิศเป็นอย่างมาก	เย่เสวียเซียนพนันได้ออกจาก[TXT]และได้หายตัวไปอย่างไร้ร่องรอย
50	ยันต์สวรรค์บรรพกาล	แต่ละสำนักหรือแต่ละนิกายนั้นมียันต์ของตนเองเพื่อเป็นสัญลักษณ์ที่ใช้ระบุตัวตนยามเมื่อพวกเขาเดินทางรอบโลก เช่น ยันต์กระบี่ของภูเขาซู หรือ ยันต์สวรรค์ของวังเหนือนภา หลังจากได้อ่านคัมภีร์วิถีเซียนเล่มที่ 3 หลายต่อหลายครั้ง ท่านก็ได้สังเกตเห็นอย่างถ่องแท้ว่ามีความแตกต่างกันเป็นอย่างมากระหว่างสัญลักษณ์ประจำตัวที่ใช้โดยบรรพชนเทียนในสมัยนั้นกับยันสวรรค์ที่วังเหนือนภาใช้กันอยู่ในปัจจุบัน ท่านได้ไตร่ตรองเหตุผลเบื้องหลังสิ่งนี้ แม้ว่าข้อมูลนี้จะไม่ได้มีประโยชน์อะไรมากนัก แต่ท่านก็ยังตัดสินใจจดบันทึกและจดจำมันเอาไว้ในใจ	
51	หวนคืนสู่บ้าน	นำร่างของบรรพชนเทียนจีส่งคืนไปยังวังเหนือสภา เพื่อที่จะให้ชนรุ่นหลังได้สักการะกราบไหว้บรรพชนผู้ก่อตั้งท่านนี้สืบต่อไป	
52	ม้วนคัมภีร์โลกใบเล็ก	ม้วนคัมภีร์โบราณที่มีรูปจำลองของสิ่งมีชีวิตทั้งหมดได้ปรากฏขึ้นที่ภูเขาผิงติงที่ตั้งอยู่บนที่ราบตอนกลาง มีข่าวลือว่าเจ้าสิ่งนี้สามารถเรียกสิ่งมีชีวิตบนโลกให้ปรากฏตัวออกมาได้	
53	ร่องรอยมังกรวารี	เมื่อเร็วๆ นี้ ได้มีปราณของมังกรวารีเล็ดลอดออกมาจาก[TXT]	ปราณของมังกรวารีได้จางหายไปแล้ว...
54	ร่องรอยหงส์เพลิง	เมื่อเร็วๆ นี้ ได้มีปราณของหงส์เพลิงเล็ดลอดออกมาจาก[TXT]	ปราณของหงส์เพลิงได้จางหายไปแล้ว...
55	รัศมีหยินหยาง	เมื่อเร็วๆ นี้ ได้มีปราณแห่งหยินหยางเล็ดลอดออกมาจาก[TXT]	ปราณแห่งหยินหยางได้จางหายไปแล้ว...
56	ข่าวลือของผู้ฝึกตนโบราณ	เมื่อเร็วๆ นี้ มีข่าวลือว่ามีผู้ฝึกตนโบราณได้ปรากฎตัวขึ้นที่[TXT]	มีข่าวลือว่ามีผู้ฝึกตนโบราณได้จาก[TXT]ไปแล้ว...
57	ร่องรอยของสหายร่วมสำนัก	เมื่อเร็วๆ นี้ ชาวบ้านแถวๆ นั้นบอกว่าเห็นชายแปลกหน้าคนหนึ่งได้ปรากฎตัวที่ภูเขาถงหลิง แขนของเขายาวมากและฝีเท้าของเขาเหมือนบินได้ เขาสามารถปีนภูเขาได้ราวกับกำลังเดินบนพื้น เมื่อฟังจากรูปลักษณ์ของบุคคลผู้นี้ ดูเหมือนว่าเขาเป็นจะเป็นผู้อาวุโสเจ็ดผู้ที่หมกมุ่นอยู่กับวิถีแห่งค่ายกล เขารอดชีวิตจากหายนะครั้งนั้นด้วยอย่างนั้นหรือ? เห็นที่ว่าข้าควรไปตรวจสอบดูเสียดีกว่า	
58	เปิดผนึกกล่องทองคำ	เมื่อเร็วๆ นี้ระดับน้ำของทะเลสาบศิลาหยกที่ตั้งอยู่ในแดนหิมะนิรันดร์ได้เพิ่มสูงขึ้น ซึ่งมันเป็นข้อบ่งชี้ว่าขุมทรัพย์ทองคำในนั้นกำลังจะเปิดออกภายในอีก 7 วัน ภายในกล่องทองคำนั้นประกอบด้วยสมบัติหายากมากมายที่จักรพรรดิปีศาจฟู่ปี้ขงได้เก็บสมบัติที่เขาได้รับมาจากทั่วทุกมุมโลกเอาไว้ การเปิดออกของมันในแต่ละครั้งได้ดึงดูดเหล่าผู้ฝึกตนจำนวนมากมายังสถานที่แห่งนี้	กล่องทองคำได้ปิดลงแล้วและสมบัติที่ไหลออกมาในครั้งนี้ก็ได้ถูกปล้นชิงออกไปจนหมด
59	สงครามของมนุษย์	เมื่อเร็วๆ นี้ ได้เกิดสงครามระหว่างมนุษย์ขึ้นในบริเวณที่ใกล้ๆ กับ[TXT] ผู้คนต่างก็บาดเจ็บล้มตายกันไปเป็นจำนวนมาก ส่งผลให้มีซากศพกระจัดกระจายไปทุกที่	ผู้ฝึกตนที่ผ่านไปมาไม่สามารถทนเห็นฉากอันน่าสยดสยองนี้ได้ ดังนั้นพวกเขาจึงใช้พลังของพวกเขาเพื่อหยุดสงคราม
60	ภัยพิบัติโรคระบาด	เมื่อเร็วๆ นี้ ได้เกิดโรคระบาดเกิดขึ้นใน[TXT] ความกลัวแผ่ซ่านไปทั่วทุกพื้นที่เนื่องจากมีผู้คนจำนวนมากได้เสียชีวิตและก็มีอีกจำนวนมากที่กำลังป่วยหนัก	ผู้ฝึกตนที่ผ่านไปมาไม่สามารถทนเห็นเหตุการณ์อันน่าสยดสยองนี้ได้ ดังนั้นพวกเขาจึงใช้พลังของพวกเขาเพื่อกำจัดโรคระบาด
