talk	notarget	int	string	float	thing
DoTalkBiteBuilding					Ta đang đánh răng bằng {0}
DoTalkBiteClothes					Ta đang tấn công {0}
DoTalkBiteOuter					Ta đang tấn công {0}
DoTalkBiteInner					Ta đang cắn khách đến {0}
DoTalkBiteVisitor					Ta đang cắn khách đến {0}
DoTalkBiteIncoming					Ta đang cắn {0}
DoTalkBiteBuildingEx					Ta đang cắn {0} không chút thương tiếc
DoTalkBiteClothesEx					Ta đang cố gắng nhai {0}
DoTalkBiteOuterEx					Ta đang cắn {0} không chút thương tiếc
DoTalkBiteInnerEx					Ta đang cắn {0} không chút thương tiếc
DoTalkBiteVisitorEx					Ta đang cắn khách đến {0} không chút thương tiếc
DoTalkBiteIncomingEx					Ta đang cắn khách đến {0} không chút thương tiếc
DoTalkAtkEnemy					Ta đang tấn công {0}!
DoTalkShitAtShitPlace					Ta đang bài tiết ở chỗ bài tiết
DoTalkShitAtPlants					Ta đang bài tiết trên {0}
DoTalkShitAtDogHouse					Ta đang bài tiết trên giường của ta
DoTalkShitAtStorage					Ta đang bài tiết trong kho
DoTalkShitOnBed					Ta đang bài tiết trên giường ngủ
DoTalkShitInFarm					Ta đang bài tiết trong khu nông nghiệp
DoTalkCarryOuterToBed					Ta đang vác {0} bất tỉnh lên giường
DoTalkCarryVisitorToDest					Ta đang vác khách bất tỉnh {0} đến điểm chỉ định
DoTalkCarryEnemyToDest					Ta đang vác kẻ địch bất tỉnh {0} đến điểm chỉ định
DoTalkCarryIncomingToDest					Ta đang vác khách bất tỉnh {0} đến điểm chỉ định
DoTalkCarryEnemyBodyToDest					Ta đang vác xác của {0} đến điểm chỉ định
DoTalkCarryVisitorBodyToDest					Ta đang vác xác của {0} đến điểm chỉ định
DoTalkCarryIncomingBodyToDest					Ta đang vác xác của {0} đến điểm chỉ định
DoTalkHelpCarry					Ta đang giúp sắp xếp đồ
DoTalkHelpTimber					Ta đang giúp chặt cây
DoTalkHelpMine					Ta đang giúp khai thác quặng
DoTalkHelpFind					Ta đang giúp vận chuyển đồ
DoTalkHelpKill					Ta đang giúp săn thú hoang
DoTalkHelpPlant					Ta đang bón phân cho cây
DoTalkCureFreeze					Ta đang trị chứng tê cóng của {0}
DoTalkCureHot					Ta đang trị chứng say nắng của {0}
DoTalkHelpCook					Ta đang giúp nấu ăn
DoTalkHeatEndure					Ta đang giúp tăng kháng nóng
DoTalkColdEndure					Ta đang giúp tăng kháng lạnh
DoTalkHelpPlay					Ta đang chơi đùa với {0}
DoTalkPlayToy					Ta đang chơi với {0}
DoTalkPlaySelf					Ta cứ đi thôi, theo cách của ta
DoTalkTrainQiGan	Ta đang luyện căn bản Linh Khí				
DoTalkTrainNeiDan	Ta đang luyện Yêu Đan				
DoTalkTrainHuTi	Ta đang luyện căn bản Hộ Thể				
DoTalkTrainLingZhi	Ta đang luyện căn bản Ngộ Tính				
DoTalkTrainShuFa	Ta đang luyện căn bản Thuật Pháp				
DoTalkFollow					
DoTalkLay					
DoTalkWander					
CantEatShit	Ta không tìm thấy phân để ăn				
CantEatEssence	Không có khoáng sản quý hiếm nào để ăn				
CantEatDrug	Không có thần dược nào để ăn				
CantEatWheat	Ta không có lúa mì nào để ăn				
CantEatDryMeat	Không có thịt khô nào để ăn				
CantEatPear	Không có lê nào để ăn				
CantEatMeat	Không có thịt sống nào để ăn				
CantEatCook	Không có thức ăn đã nấu chín nào để ta ăn				
CantBiteBuilding	Không có kiến trúc nào để ta cắn				
CantBiteClothes	Không có quần áo nào để ta cắn				
CantBiteOuter	Không có đệ tử ngoại môn nào để ta cắn				
CantBiteInner	Không có đệ tử nội môn nào để ta cắn				
CantBiteVisitor	Không có khách đến nào để ta cắn				
CantBiteIncoming	Không có người thường nào để ta cắn				
CantAtkEnemy	Không có kẻ địch nào để ta tấn công				
CantShitAtShitPlace	Không có chỗ bài tiết nào để ta bài tiết				
CantShitAtPlants	Không có cây nào để ta bài tiết				
CantShitAtDogHouse	Không có nhà của ta để ta bài tiết				
CantShitAtStorage	Không có kho nào để ta bài tiết				
CantShitOnBed	Không có giường ngủ nào để ta bài tiết				
CantShitInFarm	Không có khu nông nghiệp nào để ta bài tiết				
CantCarryOuterToBed	Không có đệ tử nào phải vác lên giường			
CantCarryVisitorToDest	Không có khách đến nào ta phải vác đến điểm chỉ định				
CantCarryEnemyToDest	Không có kẻ địch nào ta phải vác đến điểm chỉ định				
CantCarryIncomingToDest	Không có người thường nào ta phải vác đến điểm chỉ định				
CantCarryEnemyBodyToDest	Không có xác kẻ địch nào ta phải vác đến điểm chỉ định				
CantCarryVisitorBodyToDest	Không có xác khách đến nào để ta vác đến điểm chỉ định				
CantCarryIncomingBodyToDest	Không có xác khách đến nào để ta vác đến điểm chỉ định				
CantHelpCarry	Không có đồ vật nào để ta giúp vận chuyển				
CantHelpTimber	Không có cây nào để ta giúp chặt				
CantHelpMine	Không có mỏ quặng nào để ta giúp khai thác				
CantHelpFind	Không có xác nào để tìm đồ				
CantHelpKill	Không có kẻ địch nào để ta sát hại				
CantHelpPlant	Không có cây nào để tưới				
CantCureFreeze	Không có ai bị tê cóng để trị				
CantCureHot	Không có ai bị say nắng để trị				
CantHelpCook	Ta không sẵn sàng giúp nấu ăn				
CantHeatEndure	Ta không sẵn sàng tăng kháng nóng				
CantColdEndure	Ta không sẵn sàng tăng kháng lạnh				
CantHelpPlay	Không có đệ tử nào trong môn để chơi cùng				
CantPlayToy	Không có đồ chơi nào để chơi				
NoParam2CarryVisitorToDest					Ta không tìm thấy chỗ để vác khách đến {0} đi
NoParam2CarryEnemyToDest					Ta không tìm thấy chỗ để vác kẻ địch {0} đi
NoParam2CarryIncomingToDest					Ta không tìm thấy chỗ để vác người thường {0} đi
NoParam2CarryEnemyBodyToDest					Ta không tìm thấy chỗ để vác xác kẻ địch {0} đi
NoParam2CarryVisitorBodyToDest					Ta không tìm thấy chỗ để vác xác khách đến {0} đi
NoParam2CarryIncomingBodyToDest					Ta không tìm thấy chỗ để vác xác người thường {0} đi
NoParam2HelpCarry	Ta không sẵn sàng giúp di chuyển bất cứ thứ gì				
NoParam2HelpTimber	Ta không sẵn sàng giúp chặt cây				
NoParam2HelpMine	Ta không sẵn sàng giúp khai thác quặng				
NoParam2HelpPlant	Ta không sẵn sàng giúp bón phân				
NoParam2CureFreeze	Ta không sẵn sàng giúp trị chứng tê cóng				
NoParam2CureHot	Ta không sẵn sàng giúp trị chứng say nắng				
NoParam2HelpCook	Ta không sẵn sàng giúp nấu ăn				
DrinkTalk1	Ta muốn uống nước				
DrinkTalk2	Ta cảm thấy rất khát nước				
DrinkTalk3	Ta đang uống nước				
NotAtkDizzyOuter	ข้าจะไม่Tấn công đệ tử ngoại môn bất tỉnh				
NotAtkDizzyInner	ข้าจะไม่Tấn công đệ tử nội môn bất tỉnh				
NotAtkDizzyComing	ข้าจะไม่Tấn công người thường bất tỉnh				
NotAtkDizzyVisitor	ข้าจะไม่Tấn côngแขกผู้มาเยือนที่สลบ				
NoTongXie	Ta không tìm thấy thuốc xổ nào				
WannaAtkDizzyOuter					Ta muốn kết thúc nỗi đau của đệ tử ngoại môn {0}
WannaAtkDizzyInner					Ta muốn kết thúc nỗi đau của đệ tử nội môn {0}
WannaAtkDizzyComing					Khách bất tỉnh {0} có vẻ bị thương. May mà ta ở đây.
WannaAtkDizzyVisitor					Khách bất tỉnh {0} có vẻ bị thương. May mà ta ở đây.
DoTalkAtkDizzyOuter					Ta đang tấn công đệ tử ngoại môn bất tỉnh {0}
DoTalkAtkDizzyInner					Ta đang tấn công đệ tử nội môn bất tỉnh {0}
DoTalkAtkDizzyComing					Ta đang tấn công người thường bất tỉnh {0}
DoTalkAtkDizzyVisitor					Ta đang tấn công khách bất tỉnh {0}
CantAtkDizzyOuter	Không có đệ tử ngoại môn bất tỉnh nào để ta tấn công				
CantAtkDizzyInner	Không có đệ tử nội môn bất tỉnh nào để ta tấn công				
CantAtkDizzyComing	Không có người thường bất tỉnh nào để ta tấn công				
CantAtkDizzyVisitor	Không có khách đến bất tỉnh nào để ta tấn công				
NotFeedTongXie	ข้าจะไม่มอบยาถ่ายให้ศิษย์สายนอกĂn				
NotCureInner	ข้าจะไม่รักษาอาการบาดเจ็บของศิษย์สายใน			
WannaFeedTongXie	Ta muốn cho đệ tử ngoại môn ăn thuốc xổ				Ta muốn cho đệ tử ngoại môn {0} ăn thuốc xổ
WannaCureInner	ข้าจะไม่รักษาอาการบาดเจ็บของศิษย์สายใน			ข้าจะไม่รักษาอาการบาดเจ็บของศิษย์สายใน {0}
DoTalkFeedTongXie					Ta đã cho đệ tử ngoại môn {0} ăn thuốc xổ
DoTalkCureInner					Ta đang trị vết thương của đệ tử nội môn {0}
CantFeedTongXie	Không có đệ tử ngoại môn nào để ta cho ăn thuốc xổ				
CantCureInner	Không có đệ tử nội môn nào để ta trị				
NoParam2FeedTongXie					Ta muốn cho đệ tử ngoại môn {0} ăn thuốc xổ, nhưng ta không tìm thấy thuốc xổ.
NoParam2CureInner					Ta muốn trị cho đệ tử nội môn {0}, nhưng ta chưa tìm thấy thời gian rảnh.
NotHelpPlantD	Ta không muốn tiểu trong vườn thảo dược				
WannaHelpPlantD	Ta muốn giúp tưới vườn thảo dược				
DoTalkHelpPlantD	Ta đang giúp tưới vườn thảo dược				
CantHelpPlantD	Không đời nào ta giúp tưới vườn thảo dược				
NoParam2HelpPlantD	Ta chưa muốn giúp tưới nước				
NotCarryOuterBodyToDest	ข้าจะไม่เคลื่อนย้ายศพศิษย์สายนอกไปยังจุดที่กำหนด				
NotCarryInnerBodyToDest	ข้าจะไม่เคลื่อนย้ายศพศิษย์สายในไปยังจุดที่กำหนด				
WannaCarryOuterBodyToDest	Ta muốn giúp vác xác đệ tử ngoại môn đến điểm chỉ định				
WannaCarryInnerBodyToDest	Ta muốn giúp vác xác đệ tử nội môn đến điểm chỉ định				
DoTalkCarryOuterBodyToDest	Ta đang vác xác đệ tử ngoại môn {0} đến điểm chỉ định				
DoTalkCarryInnerBodyToDest	Ta đang vác xác đệ tử nội môn {0} đến điểm chỉ định				
CantCarryOuterBodyToDest	Không đời nào ta giúp vác xác đệ tử ngoại môn đến điểm chỉ định				
CantCarryInnerBodyToDest	Không đời nào ta giúp vác xác đệ tử nội môn đến điểm chỉ định				
Sleep1	Ta muốn ngủ				
Sleep2	Mí mắt của ta sắp sập xuống rồi				
Sleep3	Giường mềm mại đang gọi ta				
Wonder1	Nhìn xung quanh				
Wonder2	Ngắm cảnh xung quanh				
Wonder3	Đi dạo!				
Lay1	Tận hưởng làn gió mát				
Lay2	Nên nghỉ ngơi một chút				
Lay3	Ta không muốn di chuyển chút nào				
Follow1	Xem thử người này đang làm gì				
Follow2	Người này có mùi hôi				
Follow3	Người này thu hút sự chú ý của ta				
Eat1	Ta rất đói				
Eat2	Ta đói nhưng vẫn chịu được				
Eat3	Đến giờ ăn rồi				
NotFeed_Item_Dan_Happiness	Đôi khi ta cho đệ tử nội môn ăn Hoan Hỷ Đan				
NotFeed_Item_Dan_PracticeSpeed	ข้าจะไม่มอบโอสถเร่งปราณให้ศิษย์สายในĂn				
NotFeed_Item_Dan_CalmDown	ข้าจะไม่มอบโอสถใจพิสุทธิ์ให้ศิษย์สายในĂn				
NotFeed_Item_LingStone	ข้าจะไม่มอบหินวิญญาณให้ศิษย์สายในĂn				
NotFeed_Item_LingCrystal	ข้าจะไม่มอบผลึกวิญญาณให้ศิษย์สายในĂn				
WannaFeed_Item_Dan_Happiness	Ta muốn cho đệ tử nội môn ăn Hoan Hỷ Đan				
WannaFeed_Item_Dan_PracticeSpeed	Ta muốn cho đệ tử nội môn ăn Tụ Khí Đan				
WannaFeed_Item_Dan_CalmDown	Ta muốn cho đệ tử nội môn ăn Tịnh Tâm Đan				
WannaFeed_Item_LingStone	Ta muốn cho đệ tử nội môn ăn Linh Thạch				
WannaFeed_Item_LingCrystal	Ta muốn cho đệ tử nội môn ăn Linh Tinh				
DoTalkFeed_Item_Dan_Happiness	Ta đang cho đệ tử nội môn ăn Hoan Hỷ Đan				
DoTalkFeed_Item_Dan_PracticeSpeed	Ta đang cho đệ tử nội môn ăn Tụ Khí Đan				
DoTalkFeed_Item_Dan_CalmDown	Ta đang cho đệ tử nội môn ăn Tịnh Tâm Đan				
DoTalkFeed_Item_LingStone	Ta đang cho đệ tử nội môn ăn Linh Thạch				
DoTalkFeed_Item_LingCrystal	Ta đang cho đệ tử nội môn ăn Linh Tinh				
CantFeed_Item_Dan_Happiness	Không đời nào ta cho đệ tử nội môn ăn Hoan Hỷ Đan				
CantFeed_Item_Dan_PracticeSpeed	Không đời nào ta cho đệ tử nội môn ăn Tụ Khí Đan				
CantFeed_Item_Dan_CalmDown	Không đời nào ta cho đệ tử nội môn ăn Tịnh Tâm Đan				
CantFeed_Item_LingStone	Không đời nào ta cho đệ tử nội môn ăn Linh Thạch				
CantFeed_Item_LingCrystal	Không đời nào ta cho đệ tử nội môn ăn Linh Tinh				
NoParam2Feed_Item_Dan_Happiness	Ta không tìm thấy Hoan Hỷ Đan nào				
NoParam2Feed_Item_Dan_PracticeSpeed	Ta không tìm thấy Tụ Khí Đan nào				
NoParam2Feed_Item_Dan_CalmDown	Ta không tìm thấy Tịnh Tâm Đan nào				
NoParam2Feed_Item_LingStone	Ta không tìm thấy Linh Thạch nào				
NoParam2Feed_Item_LingCrystal	Ta không tìm thấy Linh Tinh nào				
QiGanResult_Low	Linh Khí tăng nhẹ				
NeiDanResult_Low	Yêu Đan tăng nhẹ				
HuTiResult_Low	Hộ Thể tăng nhẹ				
LingZhiResult_Low	Ngộ Tính tăng nhẹ				
ShuFaResult_Low	Uy lực Thuật Pháp tăng nhẹ				
QiGanResult_Mid	Linh Khí tăng khá				
NeiDanResult_Mid	Yêu Đan tăng khá				
HuTiResult_Mid	Hộ Thể tăng khá				
LingZhiResult_Mid	Ngộ Tính tăng khá				
ShuFaResult_Mid	Uy lực Thuật Pháp tăng khá				
QiGanResult_High	Linh Khí tăng mạnh				
NeiDanResult_High	Yêu Đan tăng mạnh				
HuTiResult_High	Hộ Thể tăng mạnh				
LingZhiResult_High	Ngộ Tính tăng mạnh				
ShuFaResult_High	Uy lực Thuật Pháp tăng mạnh				
NotBiteExpel	Ta không thể cắn người thường mà ta không biết!				
WannaBiteExpel					Ta muốn cắn người thường lạ mặt {0}!
DoTalkBiteExpel					Hiện tại ta đang cắn người thường lạ mặt {0}
CantBiteExpel	Không đời nào ta cắn người thường mà ta không biết!				
NotCarryMortalToDest	ข้าจะไม่เคลื่อนย้ายคนธรรมดาที่สลบไปยังจุดที่กำหนด				
NotCarryMortalBodyToDest	ข้าจะไม่เคลื่อนย้ายศพของคนธรรมดาไปยังจุดที่กำหนด				
WannaCarryMortalToDest					Người thường {0} bất tỉnh, ta muốn vác hắn đi
WannaCarryMortalBodyToDest					Người thường {0} đã chết, ta muốn vác hắn đi
DoTalkCarryMortalToDest					Hiện tại ta đang vác người thường bất tỉnh {0} đến điểm chỉ định
DoTalkCarryMortalBodyToDest					Hiện tại ta đang vác xác người thường {0} đến điểm chỉ định
CantCarryMortalToDest	Không đời nào ta giúp vác người thường bất tỉnh đến điểm chỉ định				
CantCarryMortalBodyToDest	Không đời nào ta giúp vác xác người thường đến điểm chỉ định				
Nothing	Thật sự rảnh rỗi				
No_NutritionQiGan	Không có dinh dưỡng để bồi bổ Linh Khí, vì vậy ta không thể tu luyện nó.				
No_NutritionNeiDan	Không có dinh dưỡng để bồi bổ Yêu Đan, vì vậy ta không thể tu luyện nó.				
No_NutritionHuTi	Không có dinh dưỡng để bồi bổ Hộ Thể, vì vậy ta không thể tu luyện nó.				
No_NutritionLingZhi	Không có dinh dưỡng để bồi bổ Ngộ Tính, vì vậy ta không thể tu luyện nó.				
No_NutritionShufa	Không có dinh dưỡng để bồi bổ Thuật Pháp, vì vậy ta không thể tu luyện nó.				
WannaEat					Theo thực đơn đã định, ta đang đi tìm gì đó ăn
WannaTrainShuFa	Ta muốn tu luyện căn bản Thuật Pháp				
WannaTrainLingZhi	Ta muốn tu luyện căn bản Ngộ Tính				
WannaTrainHuTi	Ta muốn tu luyện căn bản Hộ Thể				
WannaTrainNeiDan	Ta muốn tu luyện Yêu Đan				
WannaTrainQiGan	Ta muốn tu luyện căn bản Linh Khí				
NothingToEat	Không có gì để ăn! Ta rất đói				
NotEat_Item_SnakeGallbladder	ข้าจะไม่Ăn mật rắn				
NotEat_Item_BearGallbladder	ข้าจะไม่Ăn mật gấu				
NotEat_Item_RedGinseng	ข้าจะไม่Ăn Hồng Sâm				
NotEat_Item_PurpleGanodermaLucidum	ข้าจะไม่Ănหลินจือม่วง				
NotEat_Item_TuEssence	ข้าจะไม่Ănแกนพสุธาเหลือง				
NotEat_Item_HuoEssence	ข้าจะไม่Ăn Hỏa Kiếp Quả				
NotEat_Item_ShuiEssence	ข้าจะไม่Ăn Ngũ Sắc Kim Liên				
NotEat_Item_JinEssence	ข้าจะไม่Ăn Kim Tinh Quả				
NotEat_Item_MuEssence	ข้าจะไม่Ăn Dã Đằng				
NotEat_Item_LifeStream	ข้าจะไม่ดื่มสายธารชีวิต				
NotEat_Item_LongEgg	ข้าจะไม่Ăn Thủy Long Đản				
NotEat_Item_FengEgg	ข้าจะไม่Ăn Phượng Hoàng Đản				
NotEat_Item_DragonShit	ข้าจะไม่Ăn phân rồng				
NotEat_Item_Jiaozi	ข้าจะไม่Ăn bánh bao				
NotEat_Item_BossFeng_Meat	ข้าจะไม่Ăn thịt phượng hoàng				
NotEat_Item_BossLong_Meat	ข้าจะไม่Ăn thịt rồng				
NotEat_Item_BossZhuLong_Meat	ข้าจะไม่Ăn Hỗn Độn Chi Nhục				
NotEat_Item_Cake	ข้าจะไม่Ăn bánh mì				
NotEat_Item_MonsterBlood	ข้าจะไม่ดื่มเลือดสัตว์อสูร				
NotEat_Item_EarthEssence	ข้าจะไม่ดื่มหยาดปฐพี				
NotEat_Item_SilverGrit	ข้าจะไม่Ăn Băng Tinh Phấn				
NotEat_Item_CopperGrit	ข้าจะไม่Ăn Hỏa Đồng Phấn				
NotEat_Item_Cinnabar	ข้าจะไม่Ăn Chu Sa				
NotEat_Item_LingMuXueJie	ข้าจะไม่Ăn Mộc Hạch				
NotEat_Item_EarthEssence_1	ข้าจะไม่Ănแกนศักดิ์สิทธิ์				
NotEat_Item_EarthEssence1_1	ข้าจะไม่Ănแกนมาร				
NotEat_Item_Healroot	ข้าจะไม่Ăn thảo dược trị thương				
NotEat_Item_Mint	ข้าจะไม่Ăn Minh Tâm Thảo				
NotEat_Item_MagicHerb	ข้าจะไม่Ăn Linh Thảo				
NotEat_Item_Laxative	ข้าจะไม่Ăn thuốc xổ				
WannaEat_Item_SnakeGallbladder					Ta muốn ăn mật rắn
WannaEat_Item_BearGallbladder					Ta muốn ăn mật gấu
WannaEat_Item_RedGinseng					Ta muốn ăn Hồng Sâm
WannaEat_Item_PurpleGanodermaLucidum					Ta muốn ăn Tử Linh Chi
WannaEat_Item_TuEssence					Ta muốn ăn Hoàng Thổ Hạch
WannaEat_Item_HuoEssence					Ta muốn ăn Hỏa Kiếp Quả
WannaEat_Item_ShuiEssence					Ta muốn ăn Ngũ Sắc Kim Liên
WannaEat_Item_JinEssence					Ta muốn ăn Kim Tinh Quả
WannaEat_Item_MuEssence					Ta muốn ăn Dã Đằng
WannaEat_Item_LifeStream					Ta muốn uống Sinh Mệnh Chi Tuyền
WannaEat_Item_LongEgg					Ta muốn ăn Thủy Long Đản
WannaEat_Item_FengEgg					Ta muốn ăn Phượng Hoàng Đản
WannaEat_Item_DragonShit					Ta muốn ăn phân rồng
WannaEat_Item_Jiaozi					Ta muốn ăn bánh bao
WannaEat_Item_BossFeng_Meat					Ta muốn ăn thịt phượng hoàng
WannaEat_Item_BossLong_Meat					Ta muốn ăn thịt rồng
WannaEat_Item_BossZhuLong_Meat					Ta muốn ăn Hỗn Độn Chi Nhục
WannaEat_Item_Cake					Ta muốn ăn bánh mì
